wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Voting_Pred,Accuracy_Voting_Pred_Prob,FMeasure_Voting_Pred,FMeasure_Voting_Pred_Prob,GMean_Voting_Pred,GMean_Voting_Pred_Prob,Accuracy_RF_Pred,Accuracy_RF_Pred_Prob,FMeasure_RF_Pred,FMeasure_RF_Pred_Prob,GMean_RF_Pred,GMean_RF_Pred_Prob,Accuracy_Ada_Pred,Accuracy_Ada_Pred_Prob,FMeasure_Ada_Pred,FMeasure_Ada_Pred_Prob,GMean_Ada_Pred,GMean_Ada_Pred_Prob,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
9,1,9,18,10,28,17,1,9,0.875,44,1.0,0,0.0,0.481481481,0,0,3.4444444439999997,1,0.8889,False,False,0.00020918994185484992,False,0.006194380366691444,False,0.005155618836893822,False,0.1,False,0.0,False,0.0,False,0.2445497587856272,False,0.050611213259818086,False,0.10436717905199384,GMean_Voting_Pred,GMean_Voting_Pred,False,0.0
9,1,0,2,9,36,2,0,9,2.0,9,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,False,0.07833359937397773,False,0.01100242552996531,False,0.06658163071950846,False,0.0,False,0.0,False,0.0,False,0.3405521313663984,False,0.09778288312462392,False,0.010984028641019241,GMean_Voting_Pred,GMean_Voting_Pred,False,0.0
2,1,0,0,10,1,0,0,1,1.0,123,0.2,0,0.0,1.0,0,0,58.0,0,0.0,False,False,0.05451341430726722,False,0.2426005540873526,False,0.0019794779091384194,False,0.2,False,0.0,False,0.2,False,0.3907011486021732,False,0.09778288312462394,False,0.05102528821126287,GMean_Voting_Pred,GMean_Voting_Pred,False,0.0
5,2,0,6,6,6,4,2,5,0.75,24,1.0,0,0.666666667,0.7,0,0,3.4,1,0.8,False,False,0.19999507786910767,False,0.0017353000912743981,False,0.010585958630521614,False,0.0,False,0.0,False,0.0,False,0.12548850336544262,False,0.14824159214290625,False,0.02991170275584412,GMean_Voting_Pred,GMean_Voting_Pred,False,0.0
0,1,0,1,0,0,1,0,0,2.0,8,0.0,0,0.0,0.0,0,0,0.0,0,0.0,False,False,0.009881073183849313,False,0.039831737229790894,False,0.03892396447708659,False,0.0,False,0.0,False,0.0,False,0.25862934383761305,False,0.19271568957449056,False,0.08250002546462408,GMean_Voting_Pred,GMean_Voting_Pred,False,0.0
7,5,0,4,14,9,0,4,7,0.666666667,58,1.0,0,0.872340426,0.642857143,1,1,7.0,2,1.0,False,False,0.35768074203816536,False,0.017543518494837682,False,0.022759828952288504,False,0.0,False,0.0,False,0.0,False,0.3293320185067269,False,0.10538414354685664,False,0.18200618344832512,GMean_Voting_Pred,GMean_Voting_Pred,False,0.0
12,5,0,4,18,18,0,4,12,0.763636364,100,1.0,2,0.788461538,0.283333333,1,1,6.916666667,2,1.0833,False,False,0.42125253579706334,False,0.2494992292298783,False,0.3648021847888237,False,0.0,False,0.3,False,0.2,False,0.303131891659395,False,0.363298043551479,False,0.4128603267810109,GMean_Voting_Pred,GMean_Voting_Pred,False,0.0
0,1,0,0,0,0,0,0,0,2.0,4,0.0,0,0.0,0.0,0,0,0.0,0,0.0,False,False,0.013015220719940998,False,0.05610397016708831,False,0.046298489609960435,False,0.0,False,0.0,False,0.0,False,0.258629343837613,False,0.19271568957449056,False,0.07876155459658311,GMean_Voting_Pred,GMean_Voting_Pred,False,0.0
16,2,0,5,19,74,3,2,16,0.855555556,105,1.0,0,0.363636364,0.375,1,1,5.1875,3,1.0,False,False,0.4375907665198661,True,0.6665672176511395,False,0.4342900607351456,False,0.4,False,0.5,False,0.1,False,0.33230234068251285,False,0.34090588464003724,False,0.09411415044217808,GMean_Voting_Pred,GMean_Voting_Pred,False,9.64922495778747e-06
4,3,6,7,6,4,6,1,4,0.666666667,18,1.0,0,0.925,0.625,0,0,3.25,1,0.75,False,False,0.0034758507709425077,False,0.001750389928278434,False,0.007892350221915275,False,0.0,False,0.0,False,0.0,False,0.14659160504577806,False,0.17151599254658745,False,0.01461905860227581,GMean_Voting_Pred,GMean_Voting_Pred,False,0.0
10,4,0,6,19,45,1,5,10,2.0,68,0.0,0,0.7692307690000001,0.28571428600000004,0,0,5.8,2,1.0,True,False,0.012588394607887844,False,0.007736656562621965,False,0.029566255465206283,False,0.0,False,0.0,False,0.0,False,0.00044321698876679806,False,0.014725540960915044,False,0.0009938383230504637,GMean_Voting_Pred,GMean_Voting_Pred,False,0.0
8,4,0,6,16,28,1,5,8,2.0,47,0.0,0,0.810810811,0.333333333,0,0,4.875,1,0.875,False,False,0.2309723615427185,False,0.03529058498774811,False,0.056537620069825184,False,0.1,False,0.0,False,0.0,False,0.2608057524902542,False,0.32367680180661995,False,0.17224316002063306,GMean_Voting_Pred,GMean_Voting_Pred,False,0.0
15,2,0,10,16,91,8,2,15,0.9285714290000001,74,0.857142857,0,0.363636364,0.3666666670000001,0,0,3.4666666669999997,1,0.9333,False,False,0.39261585844956987,False,0.29974955979469103,False,0.1234287760244666,False,0.2,False,0.0,False,0.0,False,0.295289384361146,False,0.07443880090459164,False,0.0941141504181432,GMean_Voting_Pred,GMean_Voting_Pred,False,0.0
0,1,0,1,0,0,1,0,0,2.0,7,0.0,0,0.0,0.0,0,0,0.0,0,0.0,False,False,0.009882554758400084,False,0.03983173723025187,False,0.03892396447667013,False,0.0,False,0.0,False,0.0,False,0.25862934383761305,False,0.19271568957449065,False,0.08250002546462408,GMean_Voting_Pred,GMean_Voting_Pred,False,0.0
3,4,6,8,6,1,6,2,2,0.75,21,1.0,1,0.975609756,0.75,0,0,5.333333333,1,0.3333,False,False,0.0018680035611294285,False,0.0012182673614821048,False,0.0036779415205019173,False,0.0,False,0.0,False,0.0,False,0.19246358954374013,False,0.17151599254658734,False,0.029911702755915006,GMean_Voting_Pred,GMean_Voting_Pred,False,0.0
2,1,0,2,2,1,2,0,2,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,False,0.012726676658213506,False,0.00723418402485819,False,0.015556237540541959,False,0.0,False,0.0,False,0.0,False,0.21953083568768508,False,0.09778288312462394,False,0.01210949136262239,GMean_Voting_Pred,GMean_Voting_Pred,False,0.0
