wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Voting_Pred,Accuracy_Voting_Pred_Prob,FMeasure_Voting_Pred,FMeasure_Voting_Pred_Prob,GMean_Voting_Pred,GMean_Voting_Pred_Prob,Accuracy_RF_Pred,Accuracy_RF_Pred_Prob,FMeasure_RF_Pred,FMeasure_RF_Pred_Prob,GMean_RF_Pred,GMean_RF_Pred_Prob,Accuracy_Ada_Pred,Accuracy_Ada_Pred_Prob,FMeasure_Ada_Pred,FMeasure_Ada_Pred_Prob,GMean_Ada_Pred,GMean_Ada_Pred_Prob,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
2,3,0,9,16,1,1,9,2,2.0,113,0.0,0,0.933333333,0.583333333,0,0,55.5,9,4.5,False,False,7.190467294937389e-06,False,0.003503565322725189,False,0.006083178574062359,False,0.0,False,0.0,False,0.0,False,0.3917926810876191,False,0.4484484986709886,False,0.4285835282677083,FMeasure_Voting_Pred,FMeasure_Voting_Pred,False,False
4,3,0,1,8,4,1,0,4,1.0,82,0.0,0,0.857142857,0.35,2,2,18.5,1,0.75,False,False,0.005339844695462986,False,0.0032858983391563642,False,0.00530641095404005,False,0.0,False,0.0,False,0.0,False,0.27891546629526337,False,0.2529998300294098,False,0.2640903417791077,FMeasure_Voting_Pred,FMeasure_Voting_Pred,False,False
18,1,0,16,55,0,11,8,13,0.647058824,687,1.0,0,0.0,0.426470588,0,0,36.88888889,12,2.5,True,False,0.00029660725597075474,False,0.008782219104783528,False,0.00843330646456637,False,0.0,False,0.0,False,0.0,False,0.2852259566185096,False,0.4175469816654905,False,0.3374979632897853,FMeasure_Voting_Pred,FMeasure_Voting_Pred,False,False
6,6,0,4,36,1,1,4,1,0.8875,464,0.6875,0,0.992581602,0.5,3,5,73.66666667,7,2.1667,False,False,1.0828750463207017e-05,False,0.0009899164159902557,False,0.002795079137750185,False,0.0,False,0.0,False,0.0,False,0.2122437491668197,False,0.2993522761455427,False,0.2654887430064372,FMeasure_Voting_Pred,FMeasure_Voting_Pred,False,False
4,1,0,26,29,6,25,1,3,2.0,213,0.0,0,0.0,0.291666667,0,0,52.25,15,4.75,False,False,6.610614844215909e-06,False,0.007643113584915971,False,0.010155734166500051,False,0.0,False,0.0,False,0.0,False,0.23665376748716965,False,0.2830039876267962,False,0.27461391212077635,FMeasure_Voting_Pred,FMeasure_Voting_Pred,False,False
5,2,2,22,6,10,17,5,5,2.0,26,0.0,0,0.636363636,0.9,0,0,4.2,1,0.8,False,False,0.005311164604248673,False,0.003810523812162706,False,0.005775332404205746,False,0.0,False,0.0,False,0.0,False,0.2982488898227333,False,0.4385493387030346,False,0.4190985494471219,FMeasure_Voting_Pred,FMeasure_Voting_Pred,False,False
5,1,1,14,13,10,4,10,5,1.0,34,1.0,1,0.0,0.292307692,0,0,5.6,1,0.8,False,False,0.023418489922796017,False,0.00607829021758965,False,0.011495808068849277,False,0.0,False,0.0,False,0.0,False,0.4376564660280516,False,0.4278639194307071,False,0.4190985494471219,FMeasure_Voting_Pred,FMeasure_Voting_Pred,False,False
51,4,0,22,125,1041,10,17,41,0.948333333,1243,0.833333333,6,0.92816092,0.10049019599999999,3,20,22.66666667,30,2.1569,False,False,0.07420090612589796,False,0.15887315464318744,False,0.3268112130695313,False,0.2,False,0.2,False,0.3,False,0.453443295446011,False,0.4991396610389448,False,0.4952913032563789,FMeasure_Voting_Pred,FMeasure_Voting_Pred,False,False
2,2,0,11,11,1,5,6,1,2.0,53,0.0,0,0.944444444,0.625,0,0,25.5,1,0.5,False,False,0.002780418044418618,False,0.004162889856901971,False,0.005125931944803311,False,0.0,False,0.0,False,0.0,False,0.2786758202992492,False,0.4484484986709886,False,0.26659623567657104,FMeasure_Voting_Pred,FMeasure_Voting_Pred,False,False
89,2,0,141,269,3550,119,43,66,0.9612299470000001,2699,0.588235294,2,0.570731707,0.103620474,1,10,28.94382022,35,3.2135,False,False,0.3343057518645358,True,0.7150390823725533,False,0.3428902999159795,False,0.4,False,0.5,False,0.1,True,0.54038648950763,True,0.5012958075672724,True,0.5329600599476497,FMeasure_Voting_Pred,FMeasure_Voting_Pred,True,True
