dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Voting_Pred,Accuracy_Voting_Pred_Prob,FMeasure_Voting_Pred,FMeasure_Voting_Pred_Prob,GMean_Voting_Pred,GMean_Voting_Pred_Prob,Accuracy_RF_Pred,Accuracy_RF_Pred_Prob,FMeasure_RF_Pred,FMeasure_RF_Pred_Prob,GMean_RF_Pred,GMean_RF_Pred_Prob,Accuracy_Ada_Pred,Accuracy_Ada_Pred_Prob,FMeasure_Ada_Pred,FMeasure_Ada_Pred_Prob,GMean_Ada_Pred,GMean_Ada_Pred_Prob,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
2,0,5,9,1,1,4,1,2.0,49,0.0,0,0.909090909,0.75,1,1,23.5,1,0.5,True,False,0.3530721252865713,False,0.3501520341787299,True,0.5323949646621192,False,0.5,True,0.8,True,0.8166666666666667,False,0.4883347912849382,False,0.4838839824964028,False,0.4886715183127157,Accuracy_Voting_Pred,Accuracy_Voting_Pred,False,0.3530721252865713
1,0,1,3,3,1,0,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,False,0.012715304470691366,False,0.01082306643832571,False,0.18684811825760952,False,0.0,False,0.0,False,0.1,False,0.4721558576797544,False,0.4688597553728208,False,0.4897712478138834,Accuracy_Voting_Pred,Accuracy_Voting_Pred,False,0.012715304470691366
2,0,8,17,78,0,8,13,2.0,49,0.0,0,0.5862068970000001,1.0,1,3,2.769230769,1,0.9231,False,False,0.10729378715143406,False,0.09113886971260164,False,0.3467775366728982,False,0.15999999999999998,False,0.19337662337662337,False,0.12567460317460316,False,0.49243917743486,False,0.486433478118869,False,0.4949078472238093,Accuracy_Voting_Pred,Accuracy_Voting_Pred,False,0.10729378715143406
2,0,5,7,1,1,4,1,2.0,17,0.0,0,0.909090909,0.75,1,2,7.5,1,0.5,False,False,0.02163799944921281,False,0.01576736795623429,False,0.19501378075729112,False,0.0,False,0.0,False,0.0,False,0.4883347912849382,False,0.4874259513801239,False,0.483822817513956,Accuracy_Voting_Pred,Accuracy_Voting_Pred,False,0.02163799944921281
1,0,10,23,253,2,8,23,2.0,23,0.0,0,0.0,0.255434783,0,0,0.0,1,1.0,False,False,0.2363923793088049,False,0.12008190080384784,False,0.3617301131849081,False,0.0,False,0.0,False,0.0,False,0.4848397406916485,False,0.4869953161978429,False,0.4831188865763414,Accuracy_Voting_Pred,Accuracy_Voting_Pred,False,0.2363923793088049
1,0,3,18,26,3,0,13,0.75,134,1.0,0,0.0,0.512820513,0,0,8.923076923,1,0.8462,False,False,0.02300085937585064,False,0.03100740191896165,False,0.3041750097285408,False,0.0,False,0.0,False,0.0,False,0.4831443675753561,False,0.4854813476300479,False,0.4787635139365716,Accuracy_Voting_Pred,Accuracy_Voting_Pred,False,0.02300085937585064
1,0,8,45,0,4,5,10,0.651515152,234,1.0,1,0.0,0.309090909,0,0,18.0,3,1.5833,True,False,0.0378480590731925,False,0.0539529991754876,False,0.3393948436561731,False,0.05,False,0.0,False,0.0,False,0.4820060869443466,False,0.4781254304022603,False,0.4843201185652291,Accuracy_Voting_Pred,Accuracy_Voting_Pred,False,0.0378480590731925
1,0,23,48,274,22,1,23,0.8769841270000001,459,1.0,0,0.0,0.310344828,0,0,14.51724138,3,1.1724,False,False,0.2495602668274541,False,0.2727175852654478,False,0.42043274654043744,False,0.2,False,0.1,False,0.1,False,0.4870115051894665,False,0.4714509274515255,False,0.4782440101437158,Accuracy_Voting_Pred,Accuracy_Voting_Pred,False,0.2495602668274541
2,0,8,14,3,1,7,3,2.0,55,0.0,0,0.75,0.5555555560000001,0,0,17.33333333,2,1.0,False,False,0.016527770748099392,False,0.02669729877382481,False,0.23727161970427943,False,0.0,False,0.0,False,0.0,False,0.4791957611721608,False,0.4737688540391898,False,0.4867314444911952,Accuracy_Voting_Pred,Accuracy_Voting_Pred,False,0.016527770748099392
2,0,8,17,78,0,8,13,2.0,49,0.0,0,0.5862068970000001,1.0,1,3,2.769230769,1,0.9231,False,False,0.10729378715143406,False,0.09113886971260164,False,0.3467775366728982,False,0.15999999999999998,False,0.19337662337662337,False,0.12567460317460316,False,0.49243917743486,False,0.486433478118869,False,0.4949078472238093,Accuracy_Voting_Pred,Accuracy_Voting_Pred,False,0.10729378715143406
