wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Voting_Pred,Accuracy_Voting_Pred_Prob,FMeasure_Voting_Pred,FMeasure_Voting_Pred_Prob,GMean_Voting_Pred,GMean_Voting_Pred_Prob,Accuracy_RF_Pred,Accuracy_RF_Pred_Prob,FMeasure_RF_Pred,FMeasure_RF_Pred_Prob,GMean_RF_Pred,GMean_RF_Pred_Prob,Accuracy_Ada_Pred,Accuracy_Ada_Pred_Prob,FMeasure_Ada_Pred,FMeasure_Ada_Pred_Prob,GMean_Ada_Pred,GMean_Ada_Pred_Prob,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
3,1,0,5,13,3,0,5,2,1.0,40,0.0,0,0.0,0.5,0,0,12.0,1,0.3333,False,False,0.04345524594380768,False,0.041793981117989515,False,0.0346116727855991,False,0.0,False,0.0,False,0.1,False,0.21932620374256664,False,0.1813756151659241,False,0.08827326939306504,Accuracy_Voting_Pred,Accuracy_Voting_Pred,False,0.04345524594380768
4,3,0,24,15,0,24,0,4,0.0,63,1.0,0,0.8125,0.75,0,0,14.5,2,1.25,False,False,0.04644961497258999,False,0.009569625185361853,False,0.002549457761667664,False,0.0,False,0.3,False,0.0,False,0.1390150200258095,False,0.06636630327532737,False,0.0694606613310826,Accuracy_Voting_Pred,Accuracy_Voting_Pred,False,0.04644961497258999
7,2,0,6,25,21,1,5,7,2.0,104,0.0,0,0.0,0.571428571,0,0,13.85714286,1,0.8571,True,False,0.06555713283847145,False,0.005223483658717039,False,0.06433122177946313,False,0.2,False,0.0,False,0.0,False,0.18868245148242227,False,0.1800249874457187,False,0.2527110485704866,Accuracy_Voting_Pred,Accuracy_Voting_Pred,False,0.06555713283847145
5,8,0,6,29,4,1,5,5,0.875,133,0.5,1,0.993478261,0.6,2,4,25.2,1,0.6,False,False,0.33886286548248906,False,0.3333606378120861,False,0.01732769979807136,False,0.0,False,0.1,False,0.0,False,0.1326012331863172,False,0.10475846357609588,False,0.08636987361055179,Accuracy_Voting_Pred,Accuracy_Voting_Pred,False,0.33886286548248906
9,7,0,7,73,12,4,5,4,0.7757352940000001,1375,0.735294118,0,0.9844098,0.34375,1,1,148.0,17,3.3333,True,True,0.9124792046706232,True,0.6630374853991711,True,0.6595451532536255,False,0.4,False,0.3,False,0.1,True,0.7400737543767838,False,0.36712462656262573,False,0.3087253536830491,Accuracy_Voting_Pred,Accuracy_Voting_Pred,True,0.9124792046706232
6,7,0,5,43,11,2,4,3,0.771428571,289,0.857142857,0,0.988814318,0.444444444,1,1,46.0,1,0.8333,False,False,0.05019242312158085,False,0.11538063526391933,False,0.04701912300133253,False,0.2,False,0.4,False,0.1,False,0.3299305493685005,False,0.3329415159462732,False,0.08893132677688212,Accuracy_Voting_Pred,Accuracy_Voting_Pred,False,0.05019242312158085
4,2,0,7,25,6,1,6,4,2.0,123,0.0,0,0.625,0.75,0,0,29.75,1,0.75,False,False,0.0605792493414477,False,0.015212185223896243,False,0.024734585532808342,False,0.0,False,0.0,False,0.0,False,0.20634360582087635,False,0.10475846357609588,False,0.07323913217057028,Accuracy_Voting_Pred,Accuracy_Voting_Pred,False,0.0605792493414477
4,2,0,5,26,0,1,4,4,0.333333333,117,0.0,1,0.5,1.0,0,0,28.0,1,0.75,False,False,0.05977210353317103,False,0.018972679926165283,False,0.040497553795009834,False,0.0,False,0.1,False,0.0,False,0.2063436058208764,False,0.06897531088652924,False,0.09613994249961008,Accuracy_Voting_Pred,Accuracy_Voting_Pred,False,0.05977210353317103
16,7,1,5,93,72,2,3,15,0.911666667,1400,0.725,0,0.967177243,0.53125,1,1,84.0,1,0.9375,True,True,0.9566997892627956,True,0.9975950994437348,True,0.999963187762642,True,0.6,True,0.8,False,0.5,True,0.5623115532988171,True,0.7547040233486629,True,0.6215561817074693,Accuracy_Voting_Pred,Accuracy_Voting_Pred,True,0.9566997892627956
2,3,0,1,3,1,1,0,1,2.0,12,0.0,0,0.978723404,0.75,0,0,5.0,2,1.0,False,False,0.040789062214097206,False,0.006437244763098926,False,0.0009597812345519184,False,0.1,False,0.0,False,0.0,False,0.19463095278412365,False,0.10094269828029398,False,0.06370999348790482,Accuracy_Voting_Pred,Accuracy_Voting_Pred,False,0.040789062214097206
3,2,0,5,23,0,1,4,3,0.5,101,0.0,1,0.6,1.0,0,0,32.33333333,1,0.6667,False,False,0.05180760857694364,False,0.015166946272096433,False,0.030490546953735893,False,0.0,False,0.0,False,0.0,False,0.29770989016434884,False,0.09041835482844204,False,0.08974465443257547,Accuracy_Voting_Pred,Accuracy_Voting_Pred,False,0.05180760857694364
3,1,0,7,21,3,1,6,3,2.0,68,0.0,0,0.0,0.5555555560000001,0,0,21.66666667,1,0.6667,False,False,0.04799040794125544,False,0.027915482397956104,False,0.05153632335256928,False,0.0,False,0.0,False,0.0,False,0.21932620374256664,False,0.2581709324285601,False,0.1435925320747589,Accuracy_Voting_Pred,Accuracy_Voting_Pred,False,0.04799040794125544
