wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Voting_Pred,Accuracy_Voting_Pred_Prob,FMeasure_Voting_Pred,FMeasure_Voting_Pred_Prob,GMean_Voting_Pred,GMean_Voting_Pred_Prob,Accuracy_RF_Pred,Accuracy_RF_Pred_Prob,FMeasure_RF_Pred,FMeasure_RF_Pred_Prob,GMean_RF_Pred,GMean_RF_Pred_Prob,Accuracy_Ada_Pred,Accuracy_Ada_Pred_Prob,FMeasure_Ada_Pred,FMeasure_Ada_Pred_Prob,GMean_Ada_Pred,GMean_Ada_Pred_Prob,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
15.0,1.0,0.0,18.0,52.0,37.0,3.0,15.0,14.0,0.75,271.0,1.0,4.0,0.0,0.255102,0.0,0.0,16.533333,13.0,2.0667,True,True,0.8851010363272769,True,0.5135167523611014,True,0.5135167523611014,True,0.8,True,0.7,True,0.8,False,0.4994423853996801,True,0.5048196531218405,True,0.5048196531218405,Accuracy_RF_Pred,Accuracy_RF_Pred,True,0.8
3.0,3.0,0.0,2.0,8.0,3.0,1.0,1.0,3.0,1.5,60.0,0.0,0.0,1.0,0.555556,0.0,0.0,15.0,0.0,0.0,False,False,0.39618572342733055,False,0.4449248547195592,False,0.4449248547195592,False,0.3,True,0.8,True,0.6,True,0.5150761899909273,True,0.5077858885912556,True,0.5077858885912556,Accuracy_RF_Pred,Accuracy_RF_Pred,False,0.3
15.0,1.0,18.0,23.0,33.0,7.0,18.0,5.0,5.0,0.47618999999999995,229.0,1.0,0.0,0.0,0.380952,0.0,0.0,14.066667,4.0,2.3333,True,False,0.029366900175492112,True,0.5481118769490072,True,0.5481118769490072,False,0.5,True,0.7,False,0.5,False,0.4856860586325428,True,0.5155494849986743,True,0.5155494849986743,Accuracy_RF_Pred,Accuracy_RF_Pred,False,0.5
2.0,3.0,0.0,6.0,5.0,1.0,2.0,4.0,2.0,2.0,14.0,0.0,0.0,0.8,0.5,0.0,0.0,6.0,1.0,0.5,False,False,0.04046872515741269,False,0.08310549959612702,False,0.08310549959612702,False,0.1,False,0.1,False,0.0,False,0.4769350588534482,False,0.4769076777325014,False,0.4769076777325014,Accuracy_RF_Pred,FMeasure_RF_Pred,False,0.1
2.0,1.0,0.0,11.0,2.0,1.0,8.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.833333,0.0,0.0,0.0,1.0,1.0,True,False,0.053566702751664336,False,0.04732403076029812,False,0.04732403076029812,False,0.0,False,0.0,False,0.0,False,0.2950941764320845,False,0.3244755926286371,False,0.3244755926286371,Accuracy_RF_Pred,Accuracy_RF_Pred,False,0.0
4.0,2.0,0.0,8.0,29.0,4.0,0.0,8.0,3.0,0.666667,141.0,1.0,0.0,0.6,0.666667,0.0,0.0,34.0,6.0,1.75,False,True,0.5012754180196887,False,0.15223367013507927,False,0.15223367013507927,False,0.1,False,0.0,False,0.1,True,0.5010140453261622,False,0.4962558496470764,False,0.4962558496470764,Accuracy_RF_Pred,Accuracy_RF_Pred,False,0.1
4.0,2.0,0.0,7.0,19.0,4.0,1.0,7.0,1.0,0.666667,78.0,1.0,1.0,0.818182,0.4444439999999999,1.0,1.0,18.25,5.0,1.5,True,True,0.538900148782118,False,0.2271067680980699,False,0.2271067680980699,True,0.7,True,0.7,True,0.7,False,0.4945239618929899,False,0.4949231762160218,False,0.4949231762160218,Accuracy_RF_Pred,Accuracy_RF_Pred,True,0.7
51.0,1.0,0.0,4.0,71.0,1025.0,1.0,3.0,47.0,0.86,481.0,1.0,0.0,0.0,0.236667,0.0,0.0,8.274510000000001,3.0,1.2157,False,True,0.7179391163553127,False,0.3599200950754448,False,0.3599200950754448,False,0.5,False,0.5,False,0.5,False,0.4108002272012299,False,0.4118449596180631,False,0.4118449596180632,Accuracy_RF_Pred,Accuracy_RF_Pred,False,0.5
14.0,1.0,0.0,14.0,46.0,0.0,5.0,9.0,9.0,0.730769,544.0,1.0,0.0,0.0,0.28571399999999997,0.0,0.0,37.285714,8.0,3.2857,False,True,0.9632770431589244,True,0.963224566761548,True,0.963224566761548,True,0.9,True,0.8,True,0.7,True,0.5074593728459067,True,0.5093723082060744,True,0.5093723082060744,Accuracy_RF_Pred,Accuracy_RF_Pred,True,0.9
4.0,1.0,0.0,4.0,31.0,0.0,4.0,0.0,2.0,0.5,179.0,1.0,0.0,0.0,0.333333,0.0,0.0,42.75,4.0,2.0,False,True,0.5425367851691391,False,0.1939326312793148,False,0.1939326312793148,False,0.5,False,0.5,False,0.5,False,0.4785114923518285,False,0.4974370578286881,False,0.4974370578286881,Accuracy_RF_Pred,Accuracy_RF_Pred,False,0.5
