wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Voting_Pred,Accuracy_Voting_Pred_Prob,FMeasure_Voting_Pred,FMeasure_Voting_Pred_Prob,GMean_Voting_Pred,GMean_Voting_Pred_Prob,Accuracy_RF_Pred,Accuracy_RF_Pred_Prob,FMeasure_RF_Pred,FMeasure_RF_Pred_Prob,GMean_RF_Pred,GMean_RF_Pred_Prob,Accuracy_Ada_Pred,Accuracy_Ada_Pred_Prob,FMeasure_Ada_Pred,FMeasure_Ada_Pred_Prob,GMean_Ada_Pred,GMean_Ada_Pred_Prob,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
3.0,1.0,0,6.0,26.0,3.0,1.0,5.0,3.0,2.0,230.0,0.0,0.0,0.0,0.666667,0.0,0.0,75.666667,2.0,1.3333,False,False,0.2846253382539172,False,0.21042370698312388,False,0.3046531000795913,False,0.4,True,0.6,False,0.2,True,0.5241368305334568,True,0.5396529380535471,True,0.5011092647235103,GMean_RF_Pred,FMeasure_RF_Pred,True,0.6
2.0,1.0,0,10.0,3.0,0.0,8.0,2.0,1.0,0.8,31.0,0.2,2.0,0.0,0.75,0.0,0.0,12.0,1.0,0.5,False,False,0.40060473416029946,False,0.03710353879099415,False,0.11312535685382565,False,0.1,False,0.1,False,0.1,False,0.2630033477450561,False,0.34691902250652185,False,0.3921459772653602,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.1
5.0,1.0,0,11.0,9.0,0.0,10.0,3.0,4.0,0.5,88.0,0.0,1.0,0.0,0.8,0.0,0.0,14.8,3.0,1.0,True,False,0.08437077773170341,False,0.0848713403551485,False,0.10522470896186845,False,0.3,False,0.2,False,0.0,False,0.07152254711077552,False,0.04045551767225723,False,0.09092245354493304,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.2
6.0,1.0,0,10.0,13.0,0.0,6.0,4.0,6.0,0.0,225.0,1.0,1.0,0.0,0.416667,0.0,0.0,36.166667,1.0,0.6667,False,False,0.11441056431370752,False,0.4667356388536839,False,0.36501327374201453,True,0.6,False,0.3,False,0.3,False,0.4768162433479862,False,0.4651218398539565,False,0.4843310234074643,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.3
3.0,2.0,0,7.0,7.0,0.0,1.0,6.0,3.0,0.0,30.0,0.0,1.0,0.666667,0.555556,1.0,3.0,8.666667,2.0,1.0,True,False,0.012639101138077997,False,0.006942507419427552,False,0.004505622104081636,False,0.4,False,0.4,False,0.5,False,0.3013942468297964,False,0.14067535189832214,False,0.18500396311789788,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.4
8.0,6.0,0,9.0,52.0,24.0,4.0,9.0,3.0,0.6,509.0,1.0,1.0,0.985882,0.291667,0.0,0.0,60.75,2.0,0.875,True,True,0.9695486334625342,True,0.992678674870084,True,0.9800828404326748,True,1.0,True,0.8,True,1.0,True,0.6106828687414539,True,0.7178126668211134,True,0.6874819660295537,FMeasure_RF_Pred,FMeasure_RF_Pred,True,0.8
1.0,1.0,0,3.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,False,False,0.03077793020795575,False,0.0282311669448979,False,0.02545606320939745,False,0.0,False,0.0,False,0.0,False,0.15930723095504368,False,0.40491481192437256,False,0.43375043179465694,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.0
6.0,2.0,0,13.0,26.0,0.0,1.0,12.0,6.0,0.8,184.0,0.0,1.0,0.4444439999999999,0.433333,1.0,3.0,29.5,1.0,0.8333,False,True,0.8111600529329671,True,0.5209476792573443,False,0.4977140570687592,False,0.4,False,0.4,True,0.7,False,0.484160089777965,False,0.455717762911093,False,0.4944782556690718,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.4
2.0,1.0,0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.833333,0.0,0.0,0.0,1.0,1.0,False,False,0.02387557434223193,False,0.03577221987590224,False,0.02781518504501025,False,0.0,False,0.0,False,0.0,False,0.154094864984493,False,0.3090272958725028,False,0.43375043179465694,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.0
5.0,1.0,0,5.0,26.0,10.0,1.0,4.0,5.0,2.0,430.0,0.0,0.0,0.0,0.6,0.0,0.0,85.0,2.0,1.0,True,False,0.2434306887469686,False,0.25397134984443864,False,0.2609851984197003,False,0.4,False,0.2,False,0.4,False,0.16075689236200902,False,0.3090115739296949,False,0.2456612653482056,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.2
2.0,1.0,0,4.0,20.0,1.0,1.0,3.0,2.0,2.0,81.0,0.0,0.0,0.0,0.75,0.0,0.0,39.5,2.0,1.0,False,False,0.23019452625331016,False,0.14744861982004218,False,0.19500600310169133,False,0.2,False,0.1,False,0.0,False,0.4037651634021399,False,0.3479631291190917,False,0.4432949936227708,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.1
7.0,6.0,0,9.0,41.0,11.0,3.0,9.0,1.0,0.633333,217.0,0.8,2.0,0.985882,0.333333,0.0,0.0,29.285714,1.0,0.8571,False,True,0.9243741293124792,True,0.9940350802630328,True,0.9721466482166558,True,1.0,True,1.0,True,1.0,True,0.6692294693093114,True,0.6330234634962068,True,0.6087879017818766,FMeasure_RF_Pred,FMeasure_RF_Pred,True,1.0
4.0,1.0,0,11.0,7.0,4.0,10.0,1.0,2.0,1.233333,48.0,0.1,0.0,0.0,0.625,0.0,0.0,8.5,1.0,0.5,False,True,0.5963519657149903,True,0.576919518102634,True,0.6288404388659217,True,0.9,True,0.8,True,0.6,True,0.5927785720416218,True,0.6963716489587726,True,0.7488612136940317,FMeasure_RF_Pred,FMeasure_RF_Pred,True,0.8
5.0,2.0,0,12.0,22.0,0.0,1.0,11.0,5.0,0.75,167.0,1.0,1.0,0.5,0.44,1.0,3.0,32.2,1.0,0.8,False,False,0.27230880604761065,False,0.09753468346417384,False,0.12257775855020124,False,0.3,False,0.2,False,0.3,False,0.3974356144925156,True,0.511128276427406,True,0.5244782878110636,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.2
2.0,1.0,0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,51.0,0.0,0.0,0.0,1.0,0.0,0.0,21.5,7.0,3.5,False,True,0.8767997269930463,False,0.3422418066248598,False,0.34602775652291035,False,0.1,False,0.0,False,0.0,False,0.3546877238459196,False,0.40491481192437256,False,0.43375043179465694,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.0
7.0,6.0,0,6.0,51.0,11.0,3.0,6.0,1.0,0.635417,590.0,1.0,2.0,0.985882,0.333333,0.0,0.0,81.0,8.0,1.8571,True,True,0.9818796893355034,True,0.971952693944774,True,0.9615777042400748,True,0.8,True,0.9,True,0.7,True,0.5366520554922017,True,0.5570203642298066,True,0.5482360643700086,FMeasure_RF_Pred,FMeasure_RF_Pred,True,0.9
6.0,2.0,0,7.0,9.0,7.0,7.0,0.0,4.0,0.857143,116.0,0.28571399999999997,6.0,0.733333,0.4,1.0,1.0,17.166667,3.0,1.0,False,False,0.08731240398564026,False,0.03608165784313232,False,0.04035523340171057,False,0.4,False,0.3,False,0.2,False,0.3082760835577737,False,0.4210349480136618,False,0.3425665733409449,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.3
2.0,1.0,0,5.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,False,False,0.032797193846286675,False,0.03565897608389622,False,0.03187309015492717,False,0.0,False,0.0,False,0.0,True,0.5316304635629404,True,0.5106720676778558,False,0.4179553334794207,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.0
5.0,1.0,4,10.0,11.0,0.0,6.0,4.0,5.0,0.0,64.0,1.0,1.0,0.0,0.6,0.0,0.0,11.6,1.0,0.8,False,False,0.0670703743514769,False,0.17654504295924156,False,0.16994765642728393,False,0.3,False,0.1,True,0.6,False,0.482364568259134,True,0.5206460669649746,True,0.5192349062961997,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.1
2.0,3.0,0,10.0,3.0,0.0,10.0,0.0,1.0,0.0,16.0,1.0,0.0,0.928571,0.666667,0.0,0.0,6.5,1.0,0.5,False,False,0.06948238015579762,True,0.5099324122499186,True,0.5890793475975314,False,0.0,False,0.0,False,0.3,False,0.2589002586925,False,0.4195622472909809,False,0.3204900201783259,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.0
4.0,1.0,0,7.0,10.0,0.0,7.0,0.0,2.0,0.611111,55.0,1.0,0.0,0.0,0.333333,0.0,0.0,11.25,1.0,0.5,True,True,0.513457571364867,True,0.5594404652178294,True,0.5823550862178616,True,0.7,False,0.3,True,0.6,False,0.2357513103981213,False,0.452969763339981,False,0.4423055832615294,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.3
3.0,1.0,0,7.0,25.0,3.0,1.0,6.0,3.0,2.0,172.0,0.0,0.0,0.0,0.555556,0.0,0.0,56.333333,2.0,1.0,True,True,0.5730312779286005,True,0.5105796208285395,True,0.6191713064376773,True,0.7,True,0.6,True,0.8,True,0.5226062965829196,True,0.6023591428088093,True,0.5770327919616998,FMeasure_RF_Pred,FMeasure_RF_Pred,True,0.6
4.0,1.0,0,4.0,4.0,6.0,3.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,1.0,1.0,False,False,0.047528725785999655,False,0.08721023104672736,False,0.03624549799411131,False,0.2,False,0.1,False,0.2,False,0.10208630527803414,False,0.4426183030918644,False,0.4412092262353885,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.1
7.0,1.0,0,18.0,14.0,21.0,6.0,12.0,6.0,2.0,34.0,0.0,0.0,0.0,0.14285699999999998,0.0,0.0,3.857143,1.0,0.8571,False,True,0.9383708152424444,True,0.5109066325773711,False,0.428995681797903,True,0.7,False,0.5,True,0.9,True,0.5848876880636396,True,0.5276395294128089,True,0.5569071100492807,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.5
1.0,4.0,0,7.0,2.0,0.0,7.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,False,False,0.015991348303267074,False,0.08578969133688767,False,0.029274809188973943,False,0.0,False,0.1,False,0.3,False,0.39111518006582097,False,0.4524915843300778,False,0.4101455778440859,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.1
4.0,1.0,0,10.0,9.0,2.0,9.0,2.0,2.0,0.666667,114.0,0.0,0.0,0.0,0.5,0.0,0.0,25.75,1.0,0.25,True,True,0.5228150147259572,True,0.5411229926910907,True,0.5785633352791559,True,0.9,True,0.8,True,1.0,True,0.6248943967500318,True,0.5913318054206368,True,0.7115740915649127,FMeasure_RF_Pred,FMeasure_RF_Pred,True,0.8
13.0,6.0,0,10.0,75.0,74.0,6.0,10.0,2.0,0.785714,390.0,1.0,1.0,0.972158,0.240385,0.0,0.0,28.461538,2.0,1.0,True,True,0.9999436248987864,True,0.9997387615811242,True,0.9997682028767012,True,0.8,True,0.9,True,1.0,True,0.5960413001167331,True,0.7417105276258182,True,0.7295493589896432,FMeasure_RF_Pred,FMeasure_RF_Pred,True,0.9
1.0,1.0,0,3.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,False,False,0.03077798805959848,False,0.0283051375842196,False,0.025456062945671085,False,0.0,False,0.0,False,0.0,False,0.15930723095504368,False,0.40491481192437256,False,0.43375043179465694,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.0
2.0,3.0,0,5.0,3.0,0.0,5.0,0.0,1.0,0.0,16.0,1.0,0.0,0.928571,0.666667,0.0,0.0,6.5,1.0,0.5,False,False,0.0221780402091238,False,0.09047828041913818,False,0.0644710493449251,False,0.0,False,0.0,False,0.0,False,0.2910350180855831,False,0.35505596346488105,False,0.20659720195042328,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.0
32.0,6.0,0,33.0,167.0,350.0,22.0,33.0,2.0,0.8199790000000001,2353.0,0.967742,1.0,0.933045,0.267857,0.0,0.0,71.5625,2.0,1.1563,True,True,0.9999999999999988,True,0.9999999982357688,True,0.9999999999980336,True,1.0,True,1.0,True,1.0,True,0.7126719395670752,True,0.7951151478550101,True,0.7837776948775409,FMeasure_RF_Pred,FMeasure_RF_Pred,True,1.0
2.0,1.0,0,4.0,20.0,1.0,1.0,3.0,2.0,2.0,72.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,2.0,1.0,False,False,0.20707187466081708,False,0.11934108039388888,False,0.16975343849242822,False,0.1,False,0.3,False,0.0,False,0.40376516340214,False,0.3479631291190917,True,0.524789171168385,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.3
2.0,3.0,0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,16.0,1.0,0.0,0.928571,0.666667,0.0,0.0,6.5,1.0,0.5,False,False,0.0075804804756967985,False,0.05581262172084247,False,0.05145342418878792,False,0.0,False,0.0,False,0.0,False,0.10974198961029344,False,0.35505596346488105,False,0.20659720195042328,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.0
