wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Voting_Pred,Accuracy_Voting_Pred_Prob,FMeasure_Voting_Pred,FMeasure_Voting_Pred_Prob,GMean_Voting_Pred,GMean_Voting_Pred_Prob,Accuracy_RF_Pred,Accuracy_RF_Pred_Prob,FMeasure_RF_Pred,FMeasure_RF_Pred_Prob,GMean_RF_Pred,GMean_RF_Pred_Prob,Accuracy_Ada_Pred,Accuracy_Ada_Pred_Prob,FMeasure_Ada_Pred,FMeasure_Ada_Pred_Prob,GMean_Ada_Pred,GMean_Ada_Pred_Prob,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
6,6,0,0,27,7,0,0,1,0.7,177,1.0,0,0.992088608,1.0,0,0,27.5,2,1.5,False,False,0.11771877186749397,False,0.06670153889270289,False,0.19583584035394253,False,0.4,False,0.5,True,0.54,False,0.21414396546761216,True,0.6106893005671321,True,0.5591957674295632,Accuracy_RF_Pred,Accuracy_RF_Pred,False,0.4
10,1,0,14,11,3,14,0,10,0.666666667,72,1.0,0,0.0,0.533333333,0,0,5.8,1,0.8,False,False,0.032990753636770134,False,0.008435627203389721,False,0.02033338643046092,False,0.1,False,0.3,False,0.1,False,0.15244671797679435,False,0.2800012566081277,False,0.4274944665467527,Accuracy_RF_Pred,Accuracy_RF_Pred,False,0.1
5,1,0,2,19,0,0,2,5,0.0,86,1.0,0,0.0,0.466666667,0,0,16.0,2,1.0,False,False,0.15283195301472846,False,0.04185378989753508,False,0.0699561431339089,False,0.0,False,0.03333333333333333,False,0.0,False,0.16541344723864776,False,0.2867974563407898,False,0.4333330678801012,Accuracy_RF_Pred,Accuracy_RF_Pred,False,0.0
2,1,0,3,17,1,0,3,2,2.0,95,0.0,0,0.0,0.5,0,0,46.5,2,1.0,False,False,0.23972351704949943,False,0.12652001500843216,False,0.1651261691126567,False,0.2,False,0.3333333333333333,False,0.1,False,0.3325936236113803,True,0.5059052154849318,True,0.5332231640977737,Accuracy_RF_Pred,Accuracy_RF_Pred,False,0.2
15,6,0,7,49,73,3,6,1,0.863095238,424,0.916666667,2,0.978159126,0.355555556,0,0,26.46666667,3,1.6,True,True,0.9515616077947884,True,0.9188157929775403,True,0.9508684393538476,True,0.8,True,0.8,True,0.8,True,0.9281608513782166,True,0.6116661703994987,True,0.5188951527418466,Accuracy_RF_Pred,Accuracy_RF_Pred,True,0.8
25,1,0,42,40,150,39,3,23,0.791666667,347,1.0,0,0.0,0.182222222,0,0,12.56,3,0.96,False,True,0.8747632618131408,True,0.9993656130378752,True,0.9833841003572218,False,0.5,True,1.0,True,1.0,True,0.9962474895399684,True,0.8526456060562327,True,0.6840409705545382,Accuracy_RF_Pred,Accuracy_RF_Pred,False,0.5
30,6,0,6,72,199,3,5,2,0.871352785,1910,1.0,3,0.957251908,0.344444444,0,0,61.8,15,3.9333,True,True,0.9755441859387252,True,0.9977194676282524,True,0.9961130109232176,True,0.9,True,0.9,True,0.9,True,0.926100818278882,True,0.8184380066136647,True,0.7350508036737186,Accuracy_RF_Pred,Accuracy_RF_Pred,True,0.9
23,1,0,4,32,171,3,1,23,0.880681818,169,1.0,0,0.0,0.229813665,0,0,6.0,1,0.913,True,False,0.11493671693337287,True,0.936280800255984,True,0.8515573027229374,False,0.4,True,0.8,True,0.7,True,0.6699452753365244,True,0.6031982233895828,True,0.5892095011325901,Accuracy_RF_Pred,Accuracy_RF_Pred,False,0.4
33,6,0,8,93,330,4,7,2,0.878125,1412,1.0,3,0.952887538,0.218181818,0,0,40.87878788,3,1.5152,True,True,0.9953608537545966,True,0.999996451511584,True,0.9997810262631962,True,1.0,True,1.0,True,0.9,True,0.9781383686310948,True,0.790068003343582,True,0.7283643711570265,Accuracy_RF_Pred,Accuracy_RF_Pred,True,1.0
8,6,0,5,44,14,5,2,1,0.761904762,276,1.0,0,0.988958991,0.5,0,0,32.75,5,1.875,True,False,0.4801044046208258,False,0.05351942890663843,False,0.19429254585375613,True,0.6,False,0.2,False,0.3,False,0.27760484537187763,False,0.16539278508525507,False,0.18507409800058677,Accuracy_RF_Pred,Accuracy_RF_Pred,True,0.6
