wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Voting_Pred,Accuracy_Voting_Pred_Prob,FMeasure_Voting_Pred,FMeasure_Voting_Pred_Prob,GMean_Voting_Pred,GMean_Voting_Pred_Prob,Accuracy_RF_Pred,Accuracy_RF_Pred_Prob,FMeasure_RF_Pred,FMeasure_RF_Pred_Prob,GMean_RF_Pred,GMean_RF_Pred_Prob,Accuracy_Ada_Pred,Accuracy_Ada_Pred_Prob,FMeasure_Ada_Pred,FMeasure_Ada_Pred_Prob,GMean_Ada_Pred,GMean_Ada_Pred_Prob,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
8,2,0,4,22,4,1,3,4,0.767857143,273,1.0,2,0.708333333,0.291666667,1,2,31.125,6,2.375,True,True,0.9834341772248942,True,0.7091778485775008,True,0.6275818822300959,True,1.0,True,0.8,True,0.7,True,0.5221591077123852,True,0.6825959687462675,True,0.5507652562432857,FMeasure_Ada_Pred,FMeasure_Ada_Pred,True,0.6825959687462675
1,1,0,7,1,0,6,1,1,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1.0,True,True,0.9955753071017868,True,0.9926820077999658,True,0.9988736871390808,True,1.0,True,1.0,True,1.0,True,0.8153382226047734,True,0.8265466325650835,True,0.8254392188228741,FMeasure_Ada_Pred,FMeasure_Ada_Pred,True,0.8265466325650835
7,1,0,6,30,17,0,6,2,0.75,144,0.0,1,0.0,0.27777777800000003,0,0,19.28571429,2,0.8571,True,True,0.6233484026583959,True,0.6135828832234081,True,0.6544323524841559,True,0.8,True,1.0,True,1.0,True,0.5181213426991731,True,0.5274469880761152,True,0.5478124634991731,FMeasure_Ada_Pred,FMeasure_Ada_Pred,True,0.5274469880761152
2,1,0,2,4,1,1,1,1,2.0,8,0.0,0,0.0,0.75,0,0,3.0,1,0.5,True,True,0.6226685486086613,True,0.6022389753111379,False,0.3120467412799509,True,1.0,True,0.9,True,0.9,True,0.520010204075137,True,0.5201069707842414,True,0.5250169560155161,FMeasure_Ada_Pred,FMeasure_Ada_Pred,True,0.5201069707842414
8,1,0,6,22,22,0,6,8,0.7142857140000001,157,0.0,2,0.0,0.339285714,0,0,18.25,2,1.125,True,False,0.2893746654759643,True,0.6356601746084729,True,0.6545066195258242,True,0.7,True,1.0,True,1.0,True,0.5245389067467626,True,0.5370664246853992,True,0.6162907957419219,FMeasure_Ada_Pred,FMeasure_Ada_Pred,True,0.5370664246853992
10,1,0,9,16,29,6,3,0,0.7777777779999999,94,1.0,1,0.0,0.25,0,0,7.6,1,0.8,True,True,0.9980982515146885,True,0.9915192459554923,True,0.9993998218989358,True,0.6,True,0.9,True,1.0,True,0.7193055583883569,True,0.7176536939028426,True,0.6788952836761566,FMeasure_Ada_Pred,FMeasure_Ada_Pred,True,0.7176536939028426
17,2,0,8,30,114,1,7,13,0.828125,200,1.0,0,0.642857143,0.3625,1,1,10.29411765,4,0.8235,True,True,0.9830939916014404,True,0.992822163265568,True,0.9902317739441652,True,1.0,True,0.8,True,0.9,True,0.7110310327060884,True,0.5636829390696211,True,0.7307478805347751,FMeasure_Ada_Pred,FMeasure_Ada_Pred,True,0.5636829390696211
2,1,0,3,22,1,1,2,2,2.0,128,0.0,0,0.0,0.75,0,0,63.0,5,2.5,True,True,0.6246526919390988,True,0.6479242450953956,True,0.5502020184928906,True,1.0,True,0.7,True,0.9,True,0.520010204075137,True,0.6986505089045366,True,0.5234179856627532,FMeasure_Ada_Pred,FMeasure_Ada_Pred,True,0.6986505089045366
6,2,0,3,8,15,0,3,6,1.0,34,0.0,0,0.818181818,0.5,1,1,4.333333333,2,0.8333,True,True,0.6065838915360934,True,0.6177128309789868,True,0.6251365684769289,True,0.9,True,1.0,True,0.9,True,0.5295645545636354,True,0.5526112157050234,True,0.5523168509230262,FMeasure_Ada_Pred,FMeasure_Ada_Pred,True,0.5526112157050234
5,1,0,0,16,0,0,0,2,0.208333333,268,0.0,0,0.0,0.333333333,0,0,51.4,4,2.0,True,False,0.26621841799043594,False,0.23181872208304743,True,0.5599446505351716,True,0.9,False,0.2,False,0.5,True,0.5046302720936701,False,0.4695715004603109,False,0.4885815725940632,FMeasure_Ada_Pred,FMeasure_Ada_Pred,False,0.4695715004603109
