wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Voting_Pred,Accuracy_Voting_Pred_Prob,FMeasure_Voting_Pred,FMeasure_Voting_Pred_Prob,GMean_Voting_Pred,GMean_Voting_Pred_Prob,Accuracy_RF_Pred,Accuracy_RF_Pred_Prob,FMeasure_RF_Pred,FMeasure_RF_Pred_Prob,GMean_RF_Pred,GMean_RF_Pred_Prob,Accuracy_Ada_Pred,Accuracy_Ada_Pred_Prob,FMeasure_Ada_Pred,FMeasure_Ada_Pred_Prob,GMean_Ada_Pred,GMean_Ada_Pred_Prob,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
5,2,0,19,18,0,8,15,4,0.7857142859999999,84,0.0,7,0.5,0.4,0,0,14.4,3,1.2,True,True,0.5535689473248679,True,0.8154712498958863,True,0.6671659159025158,True,0.6,False,0.5,True,0.6,True,0.5113731104869527,True,0.5735208206702958,True,0.5003099256236749,Accuracy_RF_Pred,Accuracy_RF_Pred,True,0.6
10,3,0,13,41,7,1,12,9,0.638888889,286,0.5,0,0.72,0.28571428600000004,2,6,27.2,6,1.4,True,True,0.9804469150092996,True,0.6626316196473981,True,0.9793438243766358,True,0.9,True,1.0,True,0.7,True,0.6868072332529909,True,0.5131899584564218,True,0.5286669120856596,Accuracy_RF_Pred,Accuracy_RF_Pred,True,0.9
10,1,0,4,38,0,0,4,9,0.388888889,287,1.0,0,0.0,0.34,0,0,27.5,5,1.6,False,False,0.23064404718704304,True,0.5759680715021375,False,0.22179824284495167,True,0.7,True,0.9,True,0.7,True,0.5034191623138564,True,0.5079803318129801,True,0.5025363310102607,Accuracy_RF_Pred,Accuracy_RF_Pred,True,0.7
4,4,0,3,7,6,2,2,1,2.0,26,0.0,0,0.98125,0.5,2,3,5.5,3,1.25,False,True,0.535470368603258,False,0.11391154161424728,False,0.13294475488736374,False,0.2,False,0.3,True,0.6,True,0.5790367936194567,False,0.4913575397252434,True,0.5864063011381079,Accuracy_RF_Pred,FMeasure_RF_Pred,False,0.3
25,2,2,20,82,160,5,18,8,0.881944444,596,0.833333333,5,0.768421053,0.197916667,2,8,22.36,3,1.08,True,True,0.9966499443348524,True,0.9880836257145238,True,0.9959788665785206,True,0.7,True,1.0,True,1.0,True,0.8103896579801209,True,0.6661949479732336,True,0.5100978718231226,Accuracy_RF_Pred,Accuracy_RF_Pred,True,0.7
5,1,3,13,6,10,10,3,0,2.0,8,0.0,0,0.0,0.6,0,0,0.6,1,0.8,False,False,0.1543143051316641,False,0.2175137290914316,False,0.09960170020551476,False,0.2,False,0.1,False,0.0,False,0.4979407569529509,False,0.4937269361087888,False,0.4923580912775674,Accuracy_RF_Pred,Accuracy_RF_Pred,False,0.2
13,1,0,13,61,0,4,9,0,0.881944444,553,0.333333333,3,0.0,0.179487179,0,0,40.61538462,4,1.0,True,True,0.6478725315596371,True,0.7188492115866856,False,0.4011980955190557,True,0.7,True,0.8,True,0.6,False,0.4963528114147148,True,0.5417525918857949,True,0.514105036893299,Accuracy_RF_Pred,Accuracy_RF_Pred,True,0.7
17,2,0,6,34,34,1,6,7,0.7222222220000001,323,0.7777777779999999,1,0.444444444,0.173611111,1,2,17.47058824,3,1.0,True,False,0.18114196297040425,True,0.5647981262666661,False,0.4802438532666457,True,0.8,True,1.0,True,0.8,False,0.4983188367541042,True,0.5046290988780379,False,0.4994220667960675,Accuracy_RF_Pred,Accuracy_RF_Pred,True,0.8
13,1,0,8,36,58,1,7,13,0.791666667,191,1.0,2,0.0,0.201923077,0,0,13.38461538,1,0.9231,False,True,0.6757708692557677,True,0.6486461256067587,True,0.7280696979883675,True,0.7,True,1.0,True,0.9,True,0.5053960144076153,True,0.5014799284436425,True,0.5039086099139201,Accuracy_RF_Pred,Accuracy_RF_Pred,True,0.7
8,1,0,30,8,28,28,2,8,2.0,8,0.0,0,0.0,0.3,0,0,0.0,1,1.0,False,True,0.9072946983992272,True,0.9629689962537954,True,0.8823020978289401,False,0.5,True,0.6,True,1.0,True,0.5215433684120176,False,0.41922820939676697,False,0.4177305390182221,Accuracy_RF_Pred,Accuracy_RF_Pred,False,0.5
3,1,0,3,7,0,2,1,3,0.14285714300000002,125,0.14285714300000002,1,0.0,0.5555555560000001,0,0,38.33333333,3,1.6667,False,False,0.10182307158328524,False,0.10302550222051264,False,0.15319793905747353,False,0.1,False,0.1,False,0.2,False,0.4875344536350281,False,0.491822777049734,False,0.49697974876768497,Accuracy_RF_Pred,Accuracy_RF_Pred,False,0.1
8,2,0,2,19,0,1,1,8,0.428571429,65,0.0,1,0.708333333,0.3,1,4,6.875,1,0.875,False,False,0.16129204205883516,False,0.1532136815070544,False,0.19844304759522088,False,0.2,True,0.6,False,0.3,True,0.5039520453332375,False,0.4999715228531046,True,0.5039506966647637,Accuracy_RF_Pred,Accuracy_RF_Pred,False,0.2
6,1,1,5,7,15,3,3,0,2.0,9,0.0,0,0.0,0.4166666670000001,0,0,0.5,1,0.8333,False,False,0.07220005345307587,False,0.1345436794105904,False,0.043579909921572575,False,0.2,False,0.1,False,0.2,False,0.4841088081457136,False,0.4909671881244216,False,0.4848802847244239,Accuracy_RF_Pred,Accuracy_RF_Pred,False,0.2
7,1,2,10,8,21,7,3,0,2.0,10,0.0,0,0.0,0.4,0,0,0.428571429,1,0.8571,False,False,0.11018729470485927,False,0.17708277466381447,False,0.4014572333775235,False,0.3,False,0.1,False,0.2,False,0.4943568820754699,False,0.4937933337560193,False,0.4959342815529718,Accuracy_RF_Pred,Accuracy_RF_Pred,False,0.3
6,2,0,10,25,0,2,10,6,0.666666667,91,0.0,3,0.5,0.333333333,0,0,13.66666667,1,0.8333,True,True,0.5505291825774021,False,0.22338724737294136,False,0.23706295917304696,False,0.5,True,0.6,False,0.3,True,0.5040350085535781,True,0.5047659700356381,False,0.4965863474345886,Accuracy_RF_Pred,Accuracy_RF_Pred,False,0.5
6,2,0,2,17,0,0,2,6,0.1,90,1.0,1,0.5,0.583333333,1,1,13.66666667,2,1.1667,True,True,0.5194213661182758,False,0.14190588537787704,True,0.5161932964663495,False,0.3,False,0.2,False,0.4,True,0.5056173906981445,False,0.4973476548986927,False,0.4954148577292133,Accuracy_RF_Pred,Accuracy_RF_Pred,False,0.3
2,1,0,7,5,0,4,5,1,0.833333333,57,0.0,3,0.0,0.75,0,0,24.5,1,0.5,True,False,0.4291683995970625,False,0.431524750582974,False,0.4663690818271233,False,0.3,False,0.5,False,0.5,True,0.5005385351692733,False,0.4985046688433983,False,0.4949469748278176,Accuracy_Ada_Pred,Accuracy_RF_Pred,False,0.3
27,2,0,20,64,167,13,11,22,0.7615384620000001,446,1.0,0,0.333333333,0.102564103,2,6,15.33333333,12,1.5926,True,True,0.9994973151808324,True,0.9971391201951824,True,0.9994740357533248,True,1.0,True,1.0,True,1.0,True,0.8141779870628648,True,0.7304359631550924,True,0.6904058021219963,Accuracy_RF_Pred,Accuracy_RF_Pred,True,1.0
2,4,0,2,4,1,1,1,1,2.0,13,0.0,0,0.923076923,0.666666667,1,1,5.5,2,1.0,True,False,0.1593791012637389,False,0.4310873335915482,False,0.12371362431164656,False,0.1,False,0.1,False,0.3,False,0.4902389541872253,False,0.4885107248628259,False,0.4999507180152706,Accuracy_RF_Pred,Accuracy_RF_Pred,False,0.1
5,1,0,8,6,0,8,0,0,0.125,100,0.0,0,0.0,0.55,0,0,18.2,1,0.4,False,False,0.07345091696854876,False,0.4510157863019475,False,0.4422992658466958,False,0.5,False,0.2,True,0.6,False,0.4966047663303706,False,0.4977441924582302,True,0.5095351018712891,Accuracy_RF_Pred,Accuracy_RF_Pred,False,0.5
13,1,0,79,22,0,79,0,10,0.125,145,0.0,0,0.0,0.294871795,1,1,10.0,6,1.2308,True,True,0.9997436067082338,True,0.6657664258807131,True,0.6666170527562372,True,0.7,False,0.4,False,0.5,True,0.5206299033635189,True,0.6073422051415142,True,0.6158474886842173,Accuracy_RF_Pred,Accuracy_RF_Pred,True,0.7
2,1,2,7,16,0,2,5,1,0.0,66,1.0,1,0.0,0.666666667,0,0,31.5,1,0.5,False,False,0.182048622209334,True,0.5059204507477265,True,0.5336719728592993,False,0.2,True,0.6,False,0.5,True,0.5058974424877397,True,0.5034647169601976,True,0.5107234503766471,Accuracy_RF_Pred,Accuracy_RF_Pred,False,0.2
