wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Voting_Pred,Accuracy_Voting_Pred_Prob,FMeasure_Voting_Pred,FMeasure_Voting_Pred_Prob,GMean_Voting_Pred,GMean_Voting_Pred_Prob,Accuracy_RF_Pred,Accuracy_RF_Pred_Prob,FMeasure_RF_Pred,FMeasure_RF_Pred_Prob,GMean_RF_Pred,GMean_RF_Pred_Prob,Accuracy_Ada_Pred,Accuracy_Ada_Pred_Prob,FMeasure_Ada_Pred,FMeasure_Ada_Pred_Prob,GMean_Ada_Pred,GMean_Ada_Pred_Prob,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
13,1,0,18,47,0,17,1,10,0.541666667,803,1.0,0,0.0,0.2,0,0,60.61538462,5,2.6154,False,False,0.31691068546795803,False,0.3335728198200744,False,0.015618955230109631,False,0.0,False,0.0,False,0.1,False,0.3643983422359613,False,0.43637389382761294,False,0.3560725767748361,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.0
6,2,0,22,50,0,1,21,2,1.066666667,367,0.222222222,0,0.857142857,0.5,1,11,58.66666667,3,1.6667,True,True,0.8000966769990178,True,0.926041445637984,True,0.9098147764155772,True,0.7,True,0.9,True,0.9,False,0.4028623113341777,False,0.4945556454916987,True,0.6481613879262731,FMeasure_RF_Pred,FMeasure_RF_Pred,True,0.9
0,1,0,0,0,0,0,0,0,2.0,3,0.0,0,0.0,0.0,0,0,0.0,0,0.0,False,False,0.030640486436476964,False,0.3834745636145192,False,0.05013952677387026,False,0.0,False,0.0,False,0.1,False,0.3702028473630805,False,0.2732032444470269,False,0.21565541805767047,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.0
9,1,0,15,32,0,1,14,6,0.5625,302,1.0,0,0.0,0.458333333,0,0,32.33333333,3,1.3333,False,False,0.3602128337928958,False,0.361854039746836,False,0.044592602329647936,False,0.0,False,0.1,False,0.0,False,0.4446588024996295,False,0.4435910230880253,False,0.470812090466617,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.1
13,1,0,13,52,0,1,12,6,0.541666667,520,1.0,0,0.0,0.291666667,0,0,38.84615385,4,1.4615,False,False,0.3327516657606968,False,0.35327544022735297,False,0.03121455788264855,False,0.0,False,0.1,False,0.0,False,0.4520590318503242,False,0.4644000026179858,False,0.4522809143744761,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.1
15,2,0,14,36,0,8,6,10,0.464285714,404,1.0,1,0.235294118,0.196428571,1,4,25.8,4,1.7333,False,False,0.3624026384929874,False,0.42254627993179406,False,0.10859105043489804,False,0.0,False,0.0,False,0.1,False,0.3691142862399761,False,0.462933124054985,False,0.44618188530715136,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.0
8,1,0,6,18,0,1,5,6,0.571428571,185,1.0,0,0.0,0.428571429,0,0,21.875,2,1.25,False,False,0.3712242840720597,False,0.353944682997876,False,0.047734377648264326,False,0.0,False,0.0,False,0.016666666666666666,False,0.4635549218291628,False,0.4798186517550934,False,0.4820176489924259,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.0
36,1,0,13,71,0,0,13,34,0.7821428570000001,816,1.0,6,0.0,0.182857143,0,0,21.44444444,2,1.8611,False,True,0.8089085792905658,False,0.4415368969370356,True,0.8195407611665391,False,0.2,False,0.3,False,0.5,True,0.6327121510142928,False,0.4873665770243201,True,0.6496814813709837,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.3
9,1,0,11,34,0,1,10,6,0.5625,312,1.0,0,0.0,0.458333333,0,0,33.44444444,4,1.4444,False,False,0.3451250897689381,False,0.35595057259081764,False,0.043861654043107295,False,0.0,False,0.0,False,0.0,False,0.4757678809577653,False,0.4670766558497207,False,0.470812090466617,FMeasure_RF_Pred,FMeasure_RF_Pred,False,0.0
5,2,0,23,36,0,1,22,2,1.145833333,307,0.166666667,0,0.8888888890000001,0.5,1,10,58.0,3,1.2,True,True,0.9133200795929044,True,0.8871227591505573,True,0.8991047628819816,True,0.7,True,0.9,True,0.8,False,0.4508813746501147,False,0.4784988244853102,False,0.4896962394898197,FMeasure_RF_Pred,FMeasure_RF_Pred,True,0.9
