wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Voting_Pred,Accuracy_Voting_Pred_Prob,FMeasure_Voting_Pred,FMeasure_Voting_Pred_Prob,GMean_Voting_Pred,GMean_Voting_Pred_Prob,Accuracy_RF_Pred,Accuracy_RF_Pred_Prob,FMeasure_RF_Pred,FMeasure_RF_Pred_Prob,GMean_RF_Pred,GMean_RF_Pred_Prob,Accuracy_Ada_Pred,Accuracy_Ada_Pred_Prob,FMeasure_Ada_Pred,FMeasure_Ada_Pred_Prob,GMean_Ada_Pred,GMean_Ada_Pred_Prob,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
12,1,0,35,75,14,16,21,7,0.965786901,4202,0.559139785,19,0.0,0.20979021,0,0,341.4166667,31,6.6667,True,True,0.999999999999997,True,0.9999999999999614,True,1.0,True,0.7,True,1.0,True,1.0,True,0.7295748224136442,True,0.7392259529528703,True,0.8084702311918831,GMean_RF_Pred,GMean_RF_Pred,True,1.0
3,4,0,6,12,3,2,4,2,2.0,68,0.0,0,0.985714286,0.428571429,1,7,21.66666667,1,0.3333,True,True,0.9997814315834128,True,0.9997860949976975,True,0.9999589701455922,True,1.0,True,1.0,True,1.0,True,0.5475007101925525,True,0.5436980116623502,True,0.5477281599868249,GMean_RF_Pred,GMean_RF_Pred,True,1.0
5,4,0,2,11,10,0,2,5,2.0,30,0.0,0,0.959183673,0.45,0,0,5.0,1,0.8,True,True,0.6847766796163198,True,0.7495296457512636,True,0.6595880375998395,True,1.0,True,1.0,True,1.0,True,0.5283624146561071,True,0.539097838808401,True,0.5339003759218102,GMean_RF_Pred,GMean_RF_Pred,True,1.0
6,1,0,2,6,15,1,1,6,2.0,6,0.0,0,0.0,0.75,0,0,0.0,1,1.0,True,True,0.5369176354548026,True,0.5386260372071096,True,0.5355964368731329,True,1.0,True,1.0,True,1.0,True,0.5124800524058567,True,0.5130535045540771,True,0.5125015878952661,GMean_RF_Pred,GMean_RF_Pred,True,1.0
2,1,0,0,2,1,0,0,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,False,False,0.09038056429591496,False,0.08988431088710032,False,0.10020172476126582,False,0.0,False,0.0,False,0.0,False,0.488829224781563,False,0.4862211855832939,False,0.4852161058201991,GMean_RF_Pred,GMean_RF_Pred,False,0.0
5,1,0,0,5,10,0,0,5,2.0,5,0.0,0,0.0,0.7,0,0,0.0,1,1.0,False,False,0.0860329307424344,False,0.08599794975740482,False,0.08901643221457407,False,0.0,False,0.0,False,0.0,False,0.485525390563298,False,0.4835463908867951,False,0.4852161058201991,GMean_RF_Pred,GMean_RF_Pred,False,0.0
15,1,2,26,41,37,7,19,12,0.825396825,870,1.0,4,0.0,0.181818182,0,0,55.8,11,2.4,True,True,0.9999999999991958,True,0.9999999999991408,True,0.999999999999842,True,0.9,True,1.0,True,1.0,True,0.7348070769661821,True,0.7320733973180106,True,0.685967737486444,GMean_RF_Pred,GMean_RF_Pred,True,1.0
1,1,0,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,False,0.14758155230533024,False,0.08089149760487797,False,0.0940377183499368,False,0.12901154401154402,False,0.0,False,0.0,False,0.4854701363419372,False,0.4820980340833527,False,0.4810239669965812,GMean_RF_Pred,GMean_RF_Pred,False,0.0
5,4,0,2,8,10,0,2,5,2.0,28,0.0,0,0.959183673,0.6,0,0,4.6,1,0.8,True,True,0.6732912325908854,True,0.7242938853565163,True,0.6552521672344123,True,1.0,True,1.0,True,1.0,True,0.5283624146561071,True,0.539097838808401,True,0.5339003759218102,GMean_RF_Pred,GMean_RF_Pred,True,1.0
9,1,0,4,15,0,2,2,8,0.1875,243,1.0,1,0.0,0.422222222,0,0,25.77777778,6,2.1111,True,True,0.6466506963980573,True,0.6323029910489952,True,0.6506255341424317,True,1.0,True,1.0,True,0.9,True,0.5192821150007165,True,0.5199885834032519,True,0.5240486376524484,GMean_RF_Pred,GMean_RF_Pred,True,0.9
