wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Voting_Pred,Accuracy_Voting_Pred_Prob,FMeasure_Voting_Pred,FMeasure_Voting_Pred_Prob,GMean_Voting_Pred,GMean_Voting_Pred_Prob,Accuracy_RF_Pred,Accuracy_RF_Pred_Prob,FMeasure_RF_Pred,FMeasure_RF_Pred_Prob,GMean_RF_Pred,GMean_RF_Pred_Prob,Accuracy_Ada_Pred,Accuracy_Ada_Pred_Prob,FMeasure_Ada_Pred,FMeasure_Ada_Pred_Prob,GMean_Ada_Pred,GMean_Ada_Pred_Prob,Function to be selected
5,3,0,7,10,0,1,7,4,0.25,43,1.0,1,0.921052632,0.36,1,2,7.4,1,0.6,False,False,0.07190440173326157,False,0.05568123716070531,False,0.3744028950222457,False,0.0,False,0.0,True,0.6,False,0.4882056976023882,False,0.4920611355776828,False,0.4958329605465188,GMean_Voting_Pred
4,1,0,3,5,4,1,2,3,0.666666667,17,1.0,1,0.0,0.5,0,0,3.0,1,0.5,False,False,0.06292364582442263,False,0.0569986543455827,False,0.0420063172060958,False,0.0,False,0.0,False,0.0,False,0.4825373097043874,False,0.4866949215015566,False,0.487909248391568,GMean_Voting_Pred
20,4,0,26,95,144,2,26,13,0.842105263,433,1.0,0,0.727272727,0.197368421,4,5,20.3,3,1.0,False,False,0.3169645823387559,False,0.01144866700783046,False,0.01701853244738127,False,0.3,False,0.1,False,0.0,False,0.4867575615289522,False,0.4829529686261091,False,0.4802391959102806,GMean_Voting_Pred
3,2,0,8,22,3,2,6,2,2.0,165,0.0,0,0.75,0.666666667,1,3,54.0,15,5.3333,True,False,0.4633955248559232,True,0.7543063149527919,False,0.4603673449287592,False,0.4,True,0.6,False,0.4,False,0.4942652654087463,False,0.4899431761949376,False,0.4944367249008734,GMean_Voting_Pred
8,1,0,25,20,22,22,3,6,0.571428571,176,1.0,0,0.0,0.25,0,0,20.875,1,0.75,True,False,0.13355438129283043,False,0.09656396351601992,False,0.4067335751020527,True,0.6,False,0.5,True,0.6,True,0.5030011220069189,True,0.5017342700103014,True,0.5009418525193476,GMean_Voting_Pred
3,1,0,6,3,3,5,2,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,False,0.03583616623856923,False,0.029321198317834817,False,0.032235447464055524,False,0.1,False,0.0,False,0.0,False,0.4893151123922282,False,0.4868832855546898,False,0.4862264669820924,GMean_Voting_Pred
1,1,0,0,2,0,0,0,0,2.0,9,0.0,0,0.0,1.0,0,0,3.0,0,0.0,False,False,0.02228916747303625,False,0.023760329078030492,False,0.027765772046129174,False,0.1,False,0.0,False,0.0,False,0.4809886712771229,False,0.478565411971401,False,0.3202041680746612,GMean_Voting_Pred
6,1,0,9,17,15,2,7,6,2.0,46,0.0,0,0.0,0.333333333,0,0,6.666666667,4,1.3333,True,False,0.053030890205596586,False,0.05897231101962689,False,0.04793601358427992,False,0.3,False,0.2,False,0.2,False,0.4918260888878487,False,0.4882262373089658,False,0.4939925872330451,GMean_Voting_Pred
0,1,0,0,0,0,0,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,False,False,0.04324692649548048,False,0.0411109683680904,False,0.026562343873365615,False,0.0,False,0.0,False,0.0,False,0.4661333389995017,False,0.34476810046512635,False,0.181450941752268,GMean_Voting_Pred
4,1,0,7,8,6,0,7,3,2.0,22,0.0,0,0.0,0.375,0,0,4.5,1,0.75,False,False,0.037488457024845566,False,0.0394179686497348,False,0.02868207245150592,False,0.0,False,0.0,False,0.0,False,0.4791821269566508,False,0.4779808545937221,False,0.4844714976533634,GMean_Voting_Pred
