wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Voting_Pred,Accuracy_Voting_Pred_Prob,FMeasure_Voting_Pred,FMeasure_Voting_Pred_Prob,GMean_Voting_Pred,GMean_Voting_Pred_Prob,Accuracy_RF_Pred,Accuracy_RF_Pred_Prob,FMeasure_RF_Pred,FMeasure_RF_Pred_Prob,GMean_RF_Pred,GMean_RF_Pred_Prob,Accuracy_Ada_Pred,Accuracy_Ada_Pred_Prob,FMeasure_Ada_Pred,FMeasure_Ada_Pred_Prob,GMean_Ada_Pred,GMean_Ada_Pred_Prob,Function to be selected
36,1,0,9,39,89,7,2,34,0.794117647,618,1.0,0,0.0,0.231481481,1,1,16.0,3,1.2222,False,False,0.20773756631534224,False,0.061316918888960736,False,0.19844011945687046,False,0.0,False,0.3,False,0.0,False,0.004850600309564609,True,0.7144178976526311,False,6.641694765552168e-06,Accuracy_RF_Pred
18,1,0,9,55,79,4,7,10,0.841911765,373,1.0,4,0.0,0.235294118,0,0,18.83333333,4,1.2778,False,False,0.22537706892154385,False,0.12383452753986746,False,0.26383961709082554,False,0.2,False,0.3,False,0.0,False,0.004850600309564611,True,0.999853886073744,False,6.641694765552168e-06,Accuracy_RF_Pred
41,2,0,5,28,154,4,1,41,0.941520468,314,1.0,0,0.05,0.29,1,1,6.43902439,6,1.1905,False,False,0.07140508526228695,False,0.04115633815745506,False,0.048392361597929534,False,0.0,False,0.0,False,0.0,False,0.004850600309564609,False,6.702303166847353e-08,False,6.641694765552168e-06,Accuracy_RF_Pred
31,6,0,12,97,401,8,7,12,0.917647059,1084,0.941176471,0,0.937093275,0.161290323,0,0,33.41935484,14,1.9355,False,False,0.2603177709477907,False,0.3486558270119588,False,0.33955474855676243,False,0.2,False,0.3,False,0.4,False,0.006299694344482793,False,0.001011727279060259,False,6.641694765552168e-06,Accuracy_RF_Pred
6,1,0,1,10,3,0,1,4,2.0,94,0.0,0,0.0,0.333333333,0,0,14.66666667,2,1.0,False,False,0.02288316026439095,False,0.06397196645649672,False,0.011241060824461871,False,0.0,False,0.0,False,0.0,False,0.004850600309564609,False,1.0236852713556198e-07,False,6.641694765552168e-06,Accuracy_RF_Pred
14,6,0,6,52,51,5,5,1,0.79020979,454,1.0,1,0.969907407,0.35714285700000004,0,0,30.64285714,3,1.5714,False,False,0.3348544917623882,False,0.03105989784207762,False,0.0008585948021093474,False,0.2,False,0.0,False,0.3,False,0.034844851790527986,False,0.0002715900557179744,False,6.641694765552168e-06,Accuracy_RF_Pred
2,1,0,1,4,1,1,0,1,1.0,22,0.0,0,0.0,1.0,0,0,9.0,0,0.0,False,False,0.02484413909141892,False,0.054725772454118415,False,0.01865386040241832,False,0.0,False,0.0,False,0.0,False,0.004850600309564609,False,1.0236852713556198e-07,False,6.641694765552168e-06,Accuracy_RF_Pred
9,1,0,3,19,28,2,1,9,0.925,84,1.0,0,0.0,0.444444444,0,0,7.777777778,1,0.8889,False,False,0.06376002431386163,False,0.03758028943430595,False,0.034855501002787816,False,0.0,False,0.0,False,0.0,False,0.004850600309564609,False,1.0236852713556198e-07,False,6.641694765552168e-06,Accuracy_RF_Pred
14,6,0,9,91,69,5,8,4,0.857142857,674,1.0,4,0.969907407,0.3,0,0,46.64285714,9,2.4286,False,False,0.011522990378453238,False,0.05910985998185905,False,0.0038737201408900273,False,0.3,False,0.0,False,0.0,False,0.006299694344482795,False,0.0001636046267928058,False,6.641694765552168e-06,Accuracy_RF_Pred
9,1,0,9,45,0,6,3,8,0.5625,264,1.0,0,0.0,0.518518519,0,0,28.11111111,2,1.1111,True,False,0.0031357755255269518,False,0.00034785547493335734,False,0.002115396053306625,False,0.0,False,0.0,False,0.0,False,2.2204460492503185e-16,False,2.2204460492503185e-16,False,2.2204460492503185e-16,Accuracy_RF_Pred
4,1,4,2,8,1,2,0,4,2.0,144,0.0,0,0.0,0.5,0,0,35.0,4,2.0,False,False,0.005142705728190382,False,0.05317997613514777,False,0.005717032635462849,False,0.0,False,0.0,False,0.0,False,0.006299694344482793,False,1.0236852713556217e-07,False,6.641694765552168e-06,Accuracy_RF_Pred
17,6,0,2,52,98,2,0,17,0.854166667,275,1.0,0,0.963218391,0.382352941,3,7,14.82352941,3,1.1765,False,False,0.3058910549740585,False,0.3387919975053752,False,0.07282073056484491,False,0.0,False,0.0,False,0.0,False,0.004850600309564609,False,2.725120080574417e-07,False,6.641694765552168e-06,Accuracy_RF_Pred
10,1,0,9,24,21,8,3,3,0.851851852,151,1.0,0,0.0,0.333333333,0,0,13.2,1,0.8,False,False,0.0973558398901168,False,0.12574659095225013,False,0.08628970654008042,False,0.0,False,0.2,False,0.0,False,0.004850600309564607,False,0.04682156528718416,False,6.641694765552168e-06,Accuracy_RF_Pred
