wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Voting_Pred,Accuracy_Voting_Pred_Prob,FMeasure_Voting_Pred,FMeasure_Voting_Pred_Prob,GMean_Voting_Pred,GMean_Voting_Pred_Prob,Accuracy_RF_Pred,Accuracy_RF_Pred_Prob,FMeasure_RF_Pred,FMeasure_RF_Pred_Prob,GMean_RF_Pred,GMean_RF_Pred_Prob,Accuracy_Ada_Pred,Accuracy_Ada_Pred_Prob,FMeasure_Ada_Pred,FMeasure_Ada_Pred_Prob,GMean_Ada_Pred,GMean_Ada_Pred_Prob,Function to be selected
40.0,2.0,0.0,6.0,60.0,90.0,1.0,5.0,38.0,0.838141,786.0,0.9375,9.0,0.229167,0.275,1.0,6.0,18.25,2.0,0.95,True,True,0.9372041047008765,True,0.6041658082569333,True,0.9050828221176882,True,1.0,True,1.0,True,1.0,True,0.5273665658749866,True,0.526764569164586,True,0.5074878420507342,FMeasure_RF_Pred
20.0,1.0,14.0,32.0,36.0,164.0,31.0,4.0,18.0,0.8421049999999999,141.0,1.0,0.0,0.0,0.2375,0.0,0.0,5.95,2.0,1.05,False,False,0.4027811134665206,False,0.10700153160703288,False,0.443432657178064,False,0.1,False,0.0,False,0.1,False,0.4800762579125621,False,0.4662946926391763,False,0.4830615246446671,FMeasure_RF_Pred
24.0,1.0,0.0,9.0,52.0,86.0,4.0,5.0,16.0,0.673913,451.0,0.833333,3.0,0.0,0.183333,0.0,0.0,17.541667,5.0,1.7083,True,False,0.09230150780668238,False,0.4574012094892044,False,0.16286765601821854,False,0.5,False,0.5,True,0.8,True,0.5027880783101765,False,0.4981547968954491,False,0.4983770051138219,FMeasure_RF_Pred
16.0,2.0,0.0,5.0,28.0,72.0,1.0,4.0,14.0,0.933333,254.0,0.333333,0.0,0.458333,0.46875,1.0,6.0,14.3125,2.0,0.875,True,True,0.9080062874616864,True,0.7554658118231417,True,0.7995079304015835,True,1.0,True,0.7,True,0.9,True,0.5286557727164418,True,0.5140609750804414,True,0.5177981979972199,FMeasure_RF_Pred
8.0,2.0,0.0,5.0,20.0,4.0,2.0,4.0,7.0,0.8,148.0,0.6,0.0,0.583333,0.375,1.0,2.0,16.875,1.0,0.625,True,True,0.5970843477299149,True,0.6837325696135098,False,0.43027350820889065,True,0.8,True,1.0,True,0.9,True,0.5110513124052827,True,0.5143176070903787,True,0.5150113978872067,FMeasure_RF_Pred
11.0,2.0,0.0,5.0,21.0,49.0,2.0,3.0,9.0,0.85,106.0,0.5,0.0,0.578947,0.522727,1.0,6.0,8.454545,2.0,0.8182,True,True,0.8874103562833993,True,0.661236161013521,True,0.7855012375528708,True,1.0,True,1.0,True,1.0,True,0.5265230905150383,True,0.5195959870318675,True,0.5203333417344086,FMeasure_RF_Pred
3.0,3.0,0.0,6.0,4.0,1.0,5.0,1.0,3.0,2.0,24.0,0.0,0.0,0.875,0.555556,0.0,0.0,7.0,2.0,1.3333,False,False,0.16029494703001468,False,0.2709316047632573,False,0.12215246288683795,False,0.2,False,0.2,False,0.1,False,0.4779472707223931,False,0.4988511798606194,False,0.4771105080997609,FMeasure_RF_Pred
8.0,2.0,0.0,20.0,59.0,20.0,2.0,19.0,4.0,0.8214290000000001,267.0,1.0,4.0,0.416667,0.666667,1.0,1.0,31.875,1.0,0.875,False,False,0.15558944497020785,False,0.2516439431607981,False,0.3179049907521168,False,0.3,False,0.5,True,0.6,False,0.4918462511339855,True,0.5240367710404844,True,0.5030327906763981,FMeasure_RF_Pred
12.0,1.0,0.0,10.0,24.0,6.0,2.0,9.0,11.0,0.787879,156.0,0.0,1.0,0.0,0.375,0.0,0.0,11.5,2.0,1.0,True,False,0.460121058115634,False,0.4478140215717838,False,0.4966746108421152,False,0.4,False,0.4,True,0.6,True,0.5039275463935422,False,0.4991600370031474,True,0.5139618811583749,FMeasure_RF_Pred
8.0,2.0,1.0,11.0,37.0,0.0,7.0,5.0,6.0,0.357143,278.0,1.0,0.0,0.8235290000000001,0.375,1.0,1.0,33.5,6.0,1.625,True,False,0.16565364368302485,True,0.6204992894506621,False,0.3922820552575644,False,0.3,False,0.1,False,0.4,False,0.4737217006781296,True,0.5033801899279862,False,0.4805830184651362,FMeasure_RF_Pred
16.0,1.0,0.0,2.0,30.0,88.0,1.0,1.0,14.0,0.683333,250.0,0.0,1.0,0.0,0.21875,0.0,0.0,14.375,4.0,1.125,True,False,0.4799308257706138,False,0.4724662204388062,False,0.19221540977658944,True,0.7,False,0.4,True,0.6,False,0.4992010637861792,False,0.4829383970045814,True,0.5058877088875439,FMeasure_RF_Pred
22.0,2.0,0.0,9.0,51.0,89.0,3.0,7.0,22.0,0.7210880000000001,417.0,0.857143,2.0,0.269231,0.23376599999999997,1.0,2.0,17.636364,5.0,1.0455,True,True,0.6697981905328403,True,0.8570857134965388,True,0.7621809624615068,False,0.4,True,0.9,True,0.8,True,0.5064616393128489,True,0.5002442771211028,True,0.5075841663382007,FMeasure_RF_Pred
25.0,2.0,0.0,8.0,40.0,258.0,4.0,4.0,23.0,0.758333,390.0,0.8,0.0,0.333333,0.3,1.0,6.0,14.4,7.0,1.76,True,True,0.9209824010087708,True,0.8764449887271016,True,0.8147773242849455,True,1.0,True,0.9,True,1.0,True,0.5297720400251137,True,0.5123505667907091,True,0.5105474843799418,FMeasure_RF_Pred
62.0,2.0,0.0,6.0,85.0,611.0,1.0,5.0,60.0,0.953972,1390.0,0.5,14.0,0.157143,0.266129,1.0,6.0,20.580645,2.0,0.9677,True,True,0.9735144422657548,True,0.6479320538755674,True,0.9718324727483608,True,0.9,True,0.9,True,0.9,True,0.5295999152507866,True,0.5231777332590757,True,0.5112922703028092,FMeasure_RF_Pred
