wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Voting_Pred,Accuracy_Voting_Pred_Prob,FMeasure_Voting_Pred,FMeasure_Voting_Pred_Prob,GMean_Voting_Pred,GMean_Voting_Pred_Prob,Accuracy_RF_Pred,Accuracy_RF_Pred_Prob,FMeasure_RF_Pred,FMeasure_RF_Pred_Prob,GMean_RF_Pred,GMean_RF_Pred_Prob,Accuracy_Ada_Pred,Accuracy_Ada_Pred_Prob,FMeasure_Ada_Pred,FMeasure_Ada_Pred_Prob,GMean_Ada_Pred,GMean_Ada_Pred_Prob,Function to be selected
3.0,1.0,0.0,2.0,11.0,1.0,1.0,1.0,3.0,0.5,68.0,1.0,0.0,0.0,0.666667,0.0,0.0,21.333333,3.0,1.3333,False,False,0.039375195190559466,False,0.42227769484896704,False,0.01853974751571048,False,0.0,False,0.2,False,0.1,False,2.9996596609484444e-05,False,0.004970199040169503,False,1.824999355486074e-05,Accuracy_Voting_Pred
9.0,1.0,0.0,8.0,28.0,2.0,8.0,0.0,7.0,0.55,274.0,1.0,0.0,0.0,0.722222,0.0,0.0,28.888889,2.0,1.0,True,True,0.6776232970761548,True,0.6647348128942364,False,0.3573113446748264,False,0.5,True,0.8,False,0.4,False,0.25227738720800136,True,0.9015906438740288,False,0.21858061482000551,Accuracy_Voting_Pred
32.0,6.0,0.0,27.0,118.0,390.0,15.0,27.0,3.0,0.908113,992.0,0.666667,11.0,0.933045,0.46875,0.0,0.0,28.96875,2.0,1.25,True,True,1.0,True,0.6666665603946069,True,1.0,True,0.7,True,0.7,True,1.0,True,0.999999999999997,True,0.9933427325146272,True,0.999999999999997,Accuracy_Voting_Pred
2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,21.0,1.0,0.0,0.0,0.75,0.0,0.0,7.5,1.0,0.5,False,False,0.025012118621973747,False,0.18228238514701767,False,0.03119337892895209,False,0.0,False,0.1,False,0.0,False,0.005092799330318735,False,0.004970199040166885,False,9.276072374903151e-06,Accuracy_Voting_Pred
8.0,6.0,0.0,9.0,57.0,28.0,4.0,8.0,3.0,0.8857139999999999,245.0,0.8,0.0,0.984055,0.35,0.0,0.0,29.0,2.0,1.0,True,True,0.9999979886323116,True,0.9562825363791676,True,0.9998820521788864,True,0.9,True,0.7,True,0.9,True,0.9999999999999816,True,0.9997369631788748,True,0.999999999999998,Accuracy_Voting_Pred
8.0,6.0,0.0,5.0,55.0,26.0,4.0,4.0,3.0,0.795918,387.0,1.0,0.0,0.984055,0.375,0.0,0.0,46.5,6.0,1.5,True,True,0.9999994696218518,True,0.9013108054500308,True,0.9999966915949882,True,0.9,True,0.9,True,0.6,True,0.9999926583869444,False,0.4671298946167796,True,0.9999904534681062,Accuracy_Voting_Pred
7.0,6.0,0.0,6.0,51.0,13.0,4.0,4.0,2.0,0.685185,265.0,1.0,2.0,0.988558,0.428571,0.0,0.0,35.57142899999999,1.0,0.7143,True,True,0.7062042904095537,True,0.9343906728783732,True,0.6959227663406944,True,0.8,True,0.6,True,0.7,True,0.994935011042876,True,0.9820273691221488,False,1.9906048814920942e-05,Accuracy_Voting_Pred
12.0,6.0,0.0,7.0,70.0,40.0,4.0,6.0,3.0,0.692308,412.0,0.769231,2.0,0.977376,0.31666700000000003,0.0,0.0,32.25,1.0,0.8333,True,True,0.6666666665504514,True,0.6438562465495904,True,0.9999999860153712,True,0.9,False,0.5,True,0.9,True,0.999999999999997,False,0.4944963773994263,True,0.999999999999997,Accuracy_Voting_Pred
7.0,6.0,0.0,7.0,35.0,21.0,5.0,5.0,2.0,0.833333,148.0,0.5,2.0,0.986301,0.428571,0.0,0.0,19.571429,1.0,0.8571,True,True,0.6665855026491138,True,0.8771757546816654,True,0.9997851722204546,True,0.9,True,0.9,True,0.7,True,0.9999999999999596,True,0.9999972176090096,True,0.9999999999999958,Accuracy_Voting_Pred
4.0,6.0,0.0,3.0,23.0,6.0,2.0,2.0,1.0,0.666667,88.0,1.0,0.0,0.993103,0.5,0.0,0.0,20.75,1.0,0.75,False,False,0.02333559430273388,False,0.3862740927679642,False,0.020896514058587792,False,0.3,False,0.3,False,0.2,False,1.2831783473274186e-05,False,0.011257440127890235,False,9.276072374903151e-06,Accuracy_Voting_Pred
