wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Voting_Pred,Accuracy_Voting_Pred_Prob,FMeasure_Voting_Pred,FMeasure_Voting_Pred_Prob,GMean_Voting_Pred,GMean_Voting_Pred_Prob,Accuracy_RF_Pred,Accuracy_RF_Pred_Prob,FMeasure_RF_Pred,FMeasure_RF_Pred_Prob,GMean_RF_Pred,GMean_RF_Pred_Prob,Accuracy_Ada_Pred,Accuracy_Ada_Pred_Prob,FMeasure_Ada_Pred,FMeasure_Ada_Pred_Prob,GMean_Ada_Pred,GMean_Ada_Pred_Prob,Function to be selected
13.0,1.0,0.0,4.0,49.0,64.0,2.0,2.0,0.0,0.916667,699.0,0.833333,0.0,0.0,0.3125,0,0,52.307691999999996,16.0,2.4615,True,True,0.9999989349176199,True,0.9997098572806866,True,0.9999999931103221,True,1.0,True,1.0,True,1.0,True,0.8125112335712743,True,0.7046491272159037,True,0.6316081918752264,GMean_Voting_Pred
1.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0,0,0.0,1.0,1.0,True,True,0.6240158081189771,True,0.6250805819838451,True,0.6400054358418217,True,1.0,True,1.0,True,1.0,True,0.7085938958836061,True,0.7274933462221755,True,0.7390187817172268,GMean_Voting_Pred
9.0,1.0,0.0,8.0,12.0,0.0,8.0,0.0,7.0,0.40625,117.0,1.0,0.0,0.0,0.5,1,2,11.555556,4.0,1.1111,True,True,0.9999940770608644,True,0.999999993117238,True,0.999998304587086,True,1.0,True,1.0,True,1.0,True,0.710479085920144,True,0.7397087258125689,True,0.8537105029623366,GMean_Voting_Pred
4.0,3.0,18.0,20.0,16.0,6.0,19.0,1.0,3.0,1.333333,425.0,0.0,0.0,0.9268290000000001,0.416667,0,0,100.75,3.0,1.25,True,True,0.9999694412359196,True,0.9999793196465251,True,0.9999999665515972,True,1.0,True,1.0,True,1.0,True,0.9205084542419888,True,0.7385381188709157,True,0.8603212590551061,GMean_Voting_Pred
4.0,4.0,0.0,6.0,6.0,2.0,2.0,4.0,3.0,0.666667,29.0,1.0,0.0,0.9759040000000001,0.466667,0,0,5.75,1.0,0.5,True,True,0.6832356940108221,True,0.9993593013931972,True,0.6913343003069583,True,1.0,True,1.0,True,1.0,True,0.7381674421425559,True,0.7228515112495184,True,0.706984998246357,GMean_Voting_Pred
3.0,1.0,0.0,10.0,46.0,3.0,0.0,10.0,3.0,2.0,267.0,0.0,0.0,0.0,0.466667,0,0,88.0,1.0,0.6667,True,True,0.9999999999997082,True,0.9999948411309416,True,0.9987630607703134,True,1.0,True,1.0,True,1.0,True,0.8611045342860241,True,0.8891160937993474,True,0.8658888095325709,GMean_Voting_Pred
6.0,4.0,0.0,35.0,46.0,3.0,11.0,28.0,5.0,2.0,274.0,0.0,0.0,0.9382719999999999,0.4,2,13,44.666667,8.0,3.6667,True,True,0.9999999999999372,True,0.9999999980526444,True,0.9999999952160976,True,1.0,True,1.0,True,1.0,True,0.8479044973060653,True,0.8759615361237794,True,0.8434276267015184,GMean_Voting_Pred
33.0,4.0,3.0,46.0,76.0,472.0,27.0,20.0,31.0,0.9776790000000001,611.0,0.0,6.0,0.801471,0.173611,3,30,17.30303,2.0,1.1515,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,0.8538947172612041,True,0.8695605820239455,True,0.8999274304509776,GMean_Voting_Pred
57.0,1.0,5.0,100.0,125.0,1198.0,74.0,46.0,10.0,0.9107139999999999,1198.0,0.916667,7.0,0.0,0.15029800000000001,0,0,19.807018,18.0,2.1579,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,0.8538947172612041,True,0.8610931266997855,True,0.8273265113569679,GMean_Voting_Pred
28.0,3.0,0.0,42.0,61.0,370.0,13.0,34.0,26.0,1.0,533.0,0.0,0.0,0.564516,0.18154800000000001,1,3,18.0,10.0,1.8214,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,0.8484888779324924,True,0.8759615361237794,True,0.8999274304509776,GMean_Voting_Pred
3.0,3.0,0.0,6.0,7.0,1.0,1.0,5.0,3.0,1.5,43.0,0.0,0.0,0.9534879999999999,0.833333,1,6,13.0,1.0,0.6667,True,True,0.6696422162869221,True,0.999771986786557,True,0.9996437456820648,True,1.0,True,1.0,True,1.0,True,0.7701031436446499,True,0.7811570580442103,True,0.8521866004303361,GMean_Voting_Pred
3.0,4.0,0.0,13.0,5.0,3.0,13.0,0.0,3.0,1.5,17.0,0.0,0.0,1.0,0.555556,0,0,4.3333330000000005,0.0,0.0,True,True,0.9999126175512136,True,0.9999784138107582,True,0.9998639448718449,True,0.9,True,1.0,True,1.0,True,0.7306992773374656,True,0.7441279939689762,True,0.6945166261539948,GMean_Voting_Pred
6.0,3.0,0.0,28.0,60.0,0.0,3.0,27.0,5.0,0.65,375.0,1.0,3.0,0.918033,0.305556,1,5,60.833332999999996,13.0,3.5,True,True,0.9999999999999992,True,0.9999997908403998,True,0.999999984389532,True,1.0,True,1.0,True,1.0,True,0.8533275827715041,True,0.8601910501462678,True,0.8686902216345325,GMean_Voting_Pred
15.0,1.0,0.0,14.0,26.0,1.0,13.0,2.0,14.0,0.553571,477.0,1.0,1.0,0.0,0.383333,0,0,30.533333000000002,6.0,2.4667,True,True,0.9999999999991678,True,1.0,True,0.9999999999998572,True,1.0,True,1.0,True,1.0,True,0.8479044973060653,True,0.86654025983142,True,0.7070701770473051,GMean_Voting_Pred
11.0,2.0,0.0,7.0,29.0,53.0,4.0,3.0,11.0,0.8,125.0,1.0,0.0,0.714286,0.327273,1,5,10.272727,4.0,1.4545,True,True,0.9999999999999846,True,0.9999999999975208,True,0.9999999999999369,True,1.0,True,1.0,True,1.0,True,0.8484888779324924,True,0.8759615361237794,True,0.9180565390898046,GMean_Voting_Pred
8.0,3.0,0.0,13.0,28.0,0.0,0.0,13.0,7.0,0.714286,122.0,0.5,1.0,0.965517,0.270833,2,5,14.0,2.0,1.0,True,True,0.9999999998212309,True,0.9999999844351136,True,0.9999997950112997,True,1.0,True,1.0,True,1.0,True,0.7294397189687452,True,0.9245850004927746,True,0.9266116444879438,GMean_Voting_Pred
1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,17.0,0.0,1.0,0.0,1.0,0,0,12.0,0.0,0.0,True,True,0.6526624910513713,True,0.6238638093585318,True,0.6543192984948897,True,0.8,True,1.0,True,1.0,True,0.5558620514599273,True,0.5458780386197813,True,0.5726901774489205,GMean_Voting_Pred
3.0,3.0,0.0,6.0,7.0,3.0,1.0,5.0,3.0,1.5,25.0,0.0,0.0,0.9523809999999999,0.555556,1,1,7.0,1.0,0.6667,True,True,0.6699276293160831,True,0.9997342415129497,True,0.9996353814153864,True,1.0,True,1.0,True,1.0,True,0.7301848231357392,True,0.7520991306024031,True,0.8263668810253683,GMean_Voting_Pred
3.0,4.0,0.0,19.0,22.0,3.0,0.0,19.0,3.0,2.0,131.0,0.0,0.0,0.979592,0.44444399999999995,3,14,42.666667,5.0,2.0,True,True,0.9999999536195868,True,0.9999687506803028,True,0.9999985359960633,True,1.0,True,1.0,True,1.0,True,0.8479044973060653,True,0.871244560468419,True,0.9211837343736204,GMean_Voting_Pred
10.0,1.0,0.0,12.0,48.0,25.0,0.0,12.0,7.0,0.833333,520.0,0.5,0.0,0.0,0.3,0,0,50.6,7.0,1.5,True,True,0.9999999999999498,True,0.9999999994401408,True,0.9999999999936678,True,1.0,True,1.0,True,1.0,True,0.9205084542419888,True,0.9369098638188844,True,0.9364003266016742,GMean_Voting_Pred
4.0,3.0,0.0,1.0,15.0,6.0,0.0,1.0,3.0,1.333333,4270.0,0.0,0.0,0.9268290000000001,0.333333,0,0,1005.75,2.0,1.0,True,True,0.9999999999999284,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,0.9056807236505164,True,0.9185936020381948,True,0.915295217548056,GMean_Voting_Pred
2.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,229.0,0.0,0.0,0.974359,1.0,0,0,113.5,1.0,0.5,True,True,0.9989314386996426,True,0.6659494748472737,True,0.6664985309355703,True,1.0,True,1.0,True,1.0,True,0.8493071382842358,True,0.7379605900903021,True,0.7293840047089103,GMean_Voting_Pred
14.0,3.0,0.0,30.0,79.0,79.0,1.0,29.0,7.0,1.030769,805.0,0.3,0.0,0.821918,0.207143,2,6,55.785714,11.0,3.5714,True,True,1.0,True,0.999999999997356,True,1.0,True,1.0,True,1.0,True,1.0,True,0.9205084542419888,True,0.8710383149894698,True,0.9035216900076968,GMean_Voting_Pred
2.0,1.0,0.0,7.0,24.0,1.0,3.0,4.0,2.0,2.0,109.0,0.0,0.0,0.0,0.5,0,0,53.5,1.0,0.5,True,True,0.9999999215560924,True,0.9064804798881648,True,0.6664379723233604,True,1.0,True,1.0,True,1.0,True,0.7395253224354137,True,0.6387799439962898,True,0.6107632323210327,GMean_Voting_Pred
9.0,1.0,0.0,19.0,59.0,16.0,1.0,18.0,9.0,0.785714,680.0,0.0,0.0,0.0,0.28571399999999997,0,0,73.777778,10.0,2.3333,True,True,1.0,True,0.9999999999983168,True,0.9999999999999925,True,1.0,True,1.0,True,1.0,True,0.9205084542419888,True,0.8769653718746635,True,0.8760357590969021,GMean_Voting_Pred
20.0,3.0,2.0,35.0,72.0,120.0,14.0,24.0,19.0,0.9109309999999999,404.0,1.0,3.0,0.759494,0.1875,1,4,18.55,7.0,1.8,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,0.8538947172612041,True,0.8759615361237794,True,0.8999274304509776,GMean_Voting_Pred
16.0,4.0,0.0,37.0,79.0,10.0,5.0,35.0,13.0,0.566667,921.0,1.0,0.0,0.8295450000000001,0.232143,2,9,56.3125,18.0,3.4375,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,0.9205084542419888,True,0.8601910501462678,True,0.8999274304509776,GMean_Voting_Pred
7.0,4.0,0.0,16.0,22.0,0.0,0.0,16.0,5.0,0.625,153.0,1.0,4.0,0.9268290000000001,0.30952399999999997,2,4,20.285714000000002,6.0,1.7143,True,True,0.99999995723652,True,0.9999862278375216,True,0.9999970249160142,True,1.0,True,1.0,True,1.0,True,0.737780476419969,True,0.9245850004927746,True,0.9266116444879438,GMean_Voting_Pred
2.0,3.0,0.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,14.0,0.0,0.0,0.97619,0.75,1,1,5.5,1.0,0.5,True,True,0.6637445742357687,True,0.9976240639138672,True,0.9972187615340004,True,1.0,True,1.0,True,1.0,True,0.5813876558544122,True,0.6063972597681097,True,0.7611999975799962,GMean_Voting_Pred
3.0,2.0,0.0,3.0,5.0,3.0,1.0,2.0,0.0,2.0,22.0,0.0,0.0,0.5,0.555556,0,0,6.3333330000000005,2.0,1.3333,False,False,0.15881383300031687,False,0.18165028547556905,False,0.09773777765066033,False,0.0,False,0.0,False,0.0,False,0.4313536153636073,False,0.4564193095118361,False,0.4511873933420105,GMean_Voting_Pred
138.0,2.0,0.0,114.0,428.0,8413.0,63.0,67.0,130.0,0.950365,3670.0,0.733333,17.0,0.086667,0.052003,1,2,25.268116,5.0,1.3333,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,0.8538947172612041,True,0.8759615361237794,True,0.9053582633230176,GMean_Voting_Pred
13.0,4.0,3.0,13.0,19.0,64.0,5.0,8.0,13.0,0.854167,107.0,1.0,1.0,0.8787879999999999,0.230769,2,3,6.923077,6.0,1.4615,True,True,0.9999999999999302,True,0.9999999999996676,True,1.0,True,1.0,True,1.0,True,1.0,True,0.8378799318347285,True,0.8695605820239455,True,0.8877713649716459,GMean_Voting_Pred
13.0,1.0,0.0,3.0,49.0,64.0,1.0,2.0,0.0,0.916667,699.0,0.833333,0.0,0.0,0.3125,0,0,52.307691999999996,16.0,2.4615,True,True,0.9999987463747064,True,0.9996189614561184,True,0.9999999915027644,True,1.0,True,1.0,True,1.0,True,0.8016849346769339,True,0.7124657030663427,True,0.6488690288771941,GMean_Voting_Pred
22.0,3.0,2.0,27.0,47.0,189.0,22.0,11.0,22.0,0.9523809999999999,182.0,0.727273,4.0,0.903226,0.181818,2,14,6.7727270000000015,1.0,0.9545,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,0.8571055711101856,True,0.8880161784629907,True,0.8877713649716459,GMean_Voting_Pred
7.0,1.0,0.0,5.0,21.0,0.0,2.0,3.0,7.0,0.5,122.0,0.666667,0.0,0.0,0.342857,0,0,16.0,2.0,0.7143,True,True,0.9999999905690364,True,0.99999997092203,True,0.999998921623104,True,1.0,True,1.0,True,1.0,True,0.7294397189687452,True,0.8479668606907965,True,0.7364552303255892,GMean_Voting_Pred
9.0,1.0,0.0,3.0,20.0,36.0,0.0,3.0,9.0,2.0,204.0,0.0,0.0,0.0,0.333333,0,0,21.666667,4.0,2.6667,True,True,0.9999999999312008,True,0.9999999994763004,True,0.9999999999575216,True,1.0,True,1.0,True,1.0,True,0.8393292483545729,True,0.9326715682352982,True,0.9235536829301492,GMean_Voting_Pred
8.0,1.0,0.0,5.0,66.0,0.0,2.0,3.0,5.0,0.257143,623.0,0.8,2.0,0.0,0.5,0,0,76.25,1.0,0.75,True,True,1.0,True,0.9999999987041278,True,0.9999999938046136,True,1.0,True,1.0,True,1.0,True,0.8548436260501435,True,0.7327058548150243,True,0.7430339578247492,GMean_Voting_Pred
18.0,2.0,21.0,83.0,44.0,117.0,64.0,22.0,17.0,0.803922,233.0,1.0,3.0,0.760563,0.28571399999999997,1,2,11.777778,6.0,1.4444,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,0.8538947172612041,True,0.8545282790683121,True,0.8877713649716459,GMean_Voting_Pred
2.0,4.0,0.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,315.0,0.0,0.0,0.97619,1.0,0,0,156.5,1.0,0.5,True,True,0.9997900862279184,True,0.6671985763052768,True,0.6667150347432722,True,1.0,True,1.0,True,1.0,True,0.7133438357169707,True,0.7379605900903021,True,0.7458594063150077,GMean_Voting_Pred
2.0,4.0,0.0,5.0,7.0,1.0,0.0,5.0,2.0,2.0,506.0,0.0,0.0,0.97619,1.0,0,0,252.0,1.0,0.5,True,True,0.9999950113360682,True,0.9999524775331086,True,0.8983644582175355,True,1.0,True,1.0,True,1.0,True,0.7770313773070245,True,0.7971030071827799,True,0.7912063810318645,GMean_Voting_Pred
7.0,1.0,0.0,10.0,21.0,3.0,10.0,0.0,1.0,0.611111,269.0,1.0,0.0,0.0,0.4,0,0,37.0,7.0,2.1429,True,True,0.9976050704590279,True,0.9996899346066126,True,0.9929574848119463,True,1.0,True,1.0,True,1.0,True,0.7185621832319522,True,0.7381065652514844,True,0.5674110862516024,GMean_Voting_Pred
7.0,4.0,0.0,19.0,38.0,7.0,0.0,19.0,5.0,0.458333,272.0,1.0,1.0,0.941176,0.28571399999999997,3,13,37.285714,12.0,3.2857,True,True,0.9999999997561604,True,0.9999994897514846,True,0.9999999361723048,True,1.0,True,1.0,True,1.0,True,0.9205084542419888,True,0.9245850004927746,True,0.960487118704598,GMean_Voting_Pred
27.0,3.0,0.0,6.0,51.0,0.0,4.0,3.0,27.0,0.717949,168.0,0.333333,1.0,0.882883,0.246914,2,5,5.111111,2.0,1.0,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,0.6942300249685999,True,0.8601910501462678,True,0.8042593905578623,GMean_Voting_Pred
2.0,1.0,0.0,13.0,31.0,0.0,1.0,13.0,0.0,0.14285699999999998,217.0,0.9285709999999999,9.0,0.0,1.0,0,0,100.5,3.0,1.5,True,True,0.999999998393489,False,0.3945461962528905,True,0.9972914651336744,True,0.7,True,0.6,True,0.7,True,0.7028358717327626,True,0.5437424335257981,True,0.5835414023802373,GMean_Voting_Pred
24.0,3.0,0.0,27.0,83.0,148.0,10.0,22.0,23.0,0.857708,583.0,1.0,4.0,0.722892,0.136364,2,8,22.833333,13.0,2.3333,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,0.8538947172612041,True,0.8759615361237794,True,0.8999274304509776,GMean_Voting_Pred
4.0,1.0,0.0,2.0,6.0,0.0,2.0,0.0,4.0,0.416667,87.0,1.0,0.0,0.0,1.0,0,0,19.75,2.0,1.0,True,True,0.9996207110212362,True,0.9999450332629718,True,0.9987800242061768,True,0.9,True,1.0,True,1.0,True,0.6955007847239512,True,0.6972571659115638,True,0.6799943944458184,GMean_Voting_Pred
14.0,1.0,0.0,10.0,36.0,49.0,7.0,3.0,14.0,0.538462,304.0,0.0,0.0,0.0,0.265306,0,0,20.571429000000002,11.0,1.8571,True,True,0.9999999999999996,True,0.9999999999999972,True,1.0,True,1.0,True,1.0,True,1.0,True,0.8484888779324924,True,0.86654025983142,True,0.8273265113569679,GMean_Voting_Pred
1.0,1.0,1.0,8.0,2.0,0.0,4.0,4.0,1.0,2.0,28.0,0.0,4.0,0.0,1.0,0,0,21.0,0.0,0.0,True,True,0.9982055961514988,True,0.8948238470317046,True,0.6644556372511822,True,0.9,True,0.9,True,1.0,True,0.6116710113788939,True,0.6104944991009579,True,0.6141386779924228,GMean_Voting_Pred
11.0,2.0,0.0,4.0,21.0,23.0,1.0,4.0,11.0,0.64,135.0,1.0,2.0,0.565217,0.363636,1,6,10.818182,4.0,1.3636,True,True,0.9999999999875716,True,0.9999999999817084,True,0.999999999948352,True,1.0,True,1.0,True,1.0,True,0.8538947172612041,True,0.8547456776693979,True,0.921056782633106,GMean_Voting_Pred
4.0,3.0,0.0,1.0,15.0,6.0,0.0,1.0,3.0,1.333333,1166.0,0.0,0.0,0.9268290000000001,0.333333,0,0,271.25,2.0,1.0,True,True,0.9999998599536529,True,0.9999999953442136,True,0.999999999999418,True,1.0,True,1.0,True,1.0,True,0.9056807236505164,True,0.9185936020381948,True,0.915295217548056,GMean_Voting_Pred
2.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,229.0,0.0,0.0,0.974359,1.0,0,0,113.5,1.0,0.5,True,True,0.9989314386996426,True,0.6659494748472737,True,0.6664985309355703,True,1.0,True,1.0,True,1.0,True,0.8493071382842358,True,0.7379605900903021,True,0.7293840047089103,GMean_Voting_Pred
25.0,3.0,0.0,8.0,51.0,190.0,2.0,6.0,23.0,2.0,393.0,0.0,0.0,0.875648,0.37333299999999997,2,16,14.72,1.0,0.96,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,0.8616464733616374,True,0.8719900343974998,True,0.8901701575352745,GMean_Voting_Pred
1.0,1.0,0.0,6.0,1.0,0.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0,0,0.0,1.0,1.0,True,True,0.6391492831222273,True,0.6469466635720312,True,0.6519037455483042,True,1.0,True,1.0,True,1.0,True,0.7227446126816467,True,0.7495199775265378,True,0.7445709817174413,GMean_Voting_Pred
4.0,1.0,0.0,5.0,4.0,6.0,5.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.55,0,0,0.0,1.0,1.0,True,True,0.9997915413731308,True,0.9993565500114056,True,0.9998643498634237,True,0.9,True,0.9,True,1.0,True,0.9083139798789835,True,0.8542124194333165,True,0.9051329117054,GMean_Voting_Pred
4.0,5.0,0.0,0.0,8.0,6.0,0.0,0.0,4.0,1.333333,21.0,0.0,0.0,0.9638549999999999,0.625,0,0,4.0,1.0,0.75,True,True,0.9999224623918906,True,0.9998876403935588,True,0.9994411476243784,True,1.0,True,1.0,True,1.0,True,0.9215169630344796,True,0.924806288996962,True,0.8999190596322114,GMean_Voting_Pred
1.0,1.0,0.0,4.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0,0,0.0,1.0,1.0,True,True,0.6297194570226963,True,0.6419560463801188,True,0.6444749909200113,True,1.0,True,1.0,True,1.0,True,0.7227446126816467,True,0.7495199775265378,True,0.7445709817174413,GMean_Voting_Pred
2.0,4.0,0.0,7.0,13.0,1.0,1.0,6.0,1.0,2.0,36.0,0.0,0.0,0.9952610000000001,0.625,2,3,16.5,1.0,0.5,True,True,0.666489764461334,True,0.9960848894612504,True,0.996842634399596,True,1.0,True,1.0,True,1.0,True,0.5986539527665745,True,0.6077498837163833,True,0.7510784134516886,GMean_Voting_Pred
2.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,229.0,0.0,0.0,0.974359,1.0,0,0,113.5,1.0,0.5,True,True,0.9989314386996426,True,0.6659494748472737,True,0.6664985309355703,True,1.0,True,1.0,True,1.0,True,0.8493071382842358,True,0.7379605900903021,True,0.7293840047089103,GMean_Voting_Pred
11.0,2.0,0.0,5.0,26.0,0.0,0.0,5.0,8.0,0.666667,272.0,1.0,3.0,0.565217,0.309091,1,7,23.181818,4.0,1.6364,True,True,0.9999999969319828,True,0.9999999957469962,True,0.9999997885207558,True,1.0,True,1.0,True,1.0,True,0.737780476419969,True,0.9245850004927746,True,0.9266116444879438,GMean_Voting_Pred
3.0,1.0,0.0,6.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.5,0,0,0.0,1.0,1.0,True,True,0.6720913719948176,True,0.6781465755131754,True,0.6666403016407929,True,1.0,True,0.9,True,1.0,True,0.8266693941064371,True,0.8542124194333165,True,0.830990641911689,GMean_Voting_Pred
2.0,4.0,0.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,315.0,0.0,0.0,0.97619,1.0,0,0,156.5,1.0,0.5,True,True,0.9997900862279184,True,0.6671985763052768,True,0.6667150347432722,True,1.0,True,1.0,True,1.0,True,0.7133438357169707,True,0.7379605900903021,True,0.7458594063150077,GMean_Voting_Pred
2.0,5.0,0.0,3.0,3.0,1.0,3.0,0.0,2.0,2.0,13.0,0.0,0.0,1.0,0.833333,0,0,5.0,0.0,0.0,True,True,0.6629978852610331,True,0.666267433354138,True,0.6614631007418781,True,0.8,True,1.0,True,0.9,True,0.5549111201403244,True,0.760660002623277,True,0.5799682603533008,GMean_Voting_Pred
