dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
2,0,5,9,1,1,4,1,2.0,49,0.0,0,0.909090909,0.75,1,1,23.5,1,0.5,True,Accuracy_Voting_Pred,False,0.3530721252865713
1,0,1,3,3,1,0,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,Accuracy_Voting_Pred,False,0.012715304470691366
2,0,8,17,78,0,8,13,2.0,49,0.0,0,0.5862068970000001,1.0,1,3,2.769230769,1,0.9231,False,Accuracy_Voting_Pred,False,0.10729378715143406
2,0,5,7,1,1,4,1,2.0,17,0.0,0,0.909090909,0.75,1,2,7.5,1,0.5,False,Accuracy_Voting_Pred,False,0.02163799944921281
1,0,10,23,253,2,8,23,2.0,23,0.0,0,0.0,0.255434783,0,0,0.0,1,1.0,False,Accuracy_Voting_Pred,False,0.2363923793088049
1,0,3,18,26,3,0,13,0.75,134,1.0,0,0.0,0.512820513,0,0,8.923076923,1,0.8462,False,Accuracy_Voting_Pred,False,0.02300085937585064
1,0,8,45,0,4,5,10,0.651515152,234,1.0,1,0.0,0.309090909,0,0,18.0,3,1.5833,True,Accuracy_Voting_Pred,False,0.0378480590731925
1,0,23,48,274,22,1,23,0.8769841270000001,459,1.0,0,0.0,0.310344828,0,0,14.51724138,3,1.1724,False,Accuracy_Voting_Pred,False,0.2495602668274541
2,0,8,14,3,1,7,3,2.0,55,0.0,0,0.75,0.5555555560000001,0,0,17.33333333,2,1.0,False,Accuracy_Voting_Pred,False,0.016527770748099392
2,0,8,17,78,0,8,13,2.0,49,0.0,0,0.5862068970000001,1.0,1,3,2.769230769,1,0.9231,False,Accuracy_Voting_Pred,False,0.10729378715143406
2,0,7,6,1,6,1,2,2.0,16,0.0,0,0.923076923,1.0,0,0,7.0,1,0.5,False,Accuracy_Voting_Pred,False,0.006387309382788864
1,0,16,53,8,1,15,2,1.232758621,364,1.0,0,0.0,0.52,0,0,66.0,8,3.2,False,Accuracy_Voting_Pred,False,0.3751371977990536
1,0,59,45,221,55,5,27,0.91958042,333,0.727272727,3,0.0,0.16296296300000002,1,1,10.92592593,7,1.2963,False,Accuracy_Voting_Pred,False,0.3430286817342589
1,15,17,5,1,15,2,3,0.5,17,1.0,0,0.0,0.666666667,0,0,4.333333333,1,0.6667,False,Accuracy_Voting_Pred,False,0.01936030019265695
1,0,23,94,126,0,23,11,0.885964912,771,1.0,5,0.0,0.20242915,0,0,37.25,9,2.5,True,Accuracy_Voting_Pred,False,0.35680864133895857
1,0,25,41,3,16,9,3,0.666666667,261,1.0,1,0.0,0.333333333,0,0,35.71428571,4,1.5714,False,Accuracy_Voting_Pred,False,0.04631760160419609
2,0,5,9,1,1,4,1,2.0,69,1.0,0,0.909090909,0.75,2,2,32.0,7,3.5,False,Accuracy_Voting_Pred,False,0.035903895783015304
2,0,23,61,6,1,22,2,0.761904762,413,1.0,1,0.7307692309999999,0.3,1,3,49.875,6,2.375,True,Accuracy_Voting_Pred,False,0.2836296254631924
1,0,4,1,0,2,2,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,Accuracy_Voting_Pred,False,0.013950377158745596
1,0,3,7,1,2,1,1,2.0,32,0.0,0,0.0,0.5,0,0,15.0,2,1.0,False,Accuracy_Voting_Pred,False,0.3568521832755031
2,0,8,14,3,1,7,3,2.0,55,0.0,0,0.75,0.5555555560000001,0,0,17.33333333,2,1.0,False,Accuracy_Voting_Pred,False,0.016527770748099392
1,0,6,18,21,3,3,10,0.666666667,174,1.0,0,0.0,0.533333333,0,0,16.0,19,2.7,False,Accuracy_Voting_Pred,False,0.02403550064875842
1,0,8,5,10,3,5,5,2.0,5,0.0,0,0.0,0.433333333,0,0,0.0,1,1.0,False,Accuracy_Voting_Pred,False,0.031067747320401407
1,0,4,14,0,1,3,2,0.0,78,1.0,0,0.0,0.666666667,0,0,37.5,3,1.5,False,Accuracy_Voting_Pred,False,0.021990646297494167
1,0,18,17,16,16,2,9,0.525,112,1.0,1,0.0,0.472222222,0,0,10.88888889,2,0.7778,False,Accuracy_Voting_Pred,False,0.025019883365663475
2,0,10,9,9,10,0,4,0.857142857,91,0.428571429,5,0.764705882,0.4,1,1,13.0,1,0.6667,False,Accuracy_Voting_Pred,False,0.04812600781175611
1,0,15,50,68,0,15,12,0.816666667,365,1.0,7,0.0,0.2,0,0,21.3125,4,1.4375,False,Accuracy_Voting_Pred,False,0.2926247447148139
2,0,11,43,1,0,11,2,1.0,243,1.0,1,0.75,0.44,2,2,37.83333333,4,1.8333,False,Accuracy_Voting_Pred,False,0.11810192664973689
2,0,31,8,6,30,1,3,0.875,79,0.333333333,5,0.8125,0.4166666670000001,1,1,13.6,1,0.6,False,Accuracy_Voting_Pred,False,0.042020865033500936
1,0,1,14,21,0,1,10,0.740740741,109,1.0,1,0.0,0.32,1,1,9.6,7,1.5,False,Accuracy_Voting_Pred,False,0.24104363699410605
1,0,0,2,0,0,0,1,2.0,7,0.0,0,0.0,1.0,0,0,3.0,0,0.0,False,Accuracy_Voting_Pred,False,0.059739417635579
1,0,2,2,1,2,0,2,2.0,2,0.0,0,0.0,0.875,0,0,0.0,1,1.0,False,Accuracy_Voting_Pred,False,0.014495135928828689
2,0,7,17,91,0,7,14,2.0,54,0.0,0,0.566666667,1.0,1,4,2.857142857,1,0.9286,False,Accuracy_Voting_Pred,False,0.05353191856681907
1,0,5,41,0,2,4,14,0.775,254,0.75,1,0.0,0.257142857,0,0,14.375,3,1.5625,True,Accuracy_Voting_Pred,False,0.03824760443157516
