wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
8,1,0,6,14,26,2,0,7,1.0,39,1.0,2,0.0,0.392857143,0,0,3.5,1,0.75,False,FMeasure_Voting_Pred,False,0.02145558457066864
2,4,0,4,5,1,1,0,2,2.0,36,0.0,0,0.975609756,0.666666667,1,1,17.0,1,0.5,False,FMeasure_Voting_Pred,False,0.006457089613071729
56,1,0,49,89,1310,40,0,56,0.956473829,583,1.0,24,0.0,0.1375,0,0,8.821428571,5,1.1964,False,FMeasure_Voting_Pred,True,0.988463303532336
4,5,1,0,8,6,0,0,4,2.0,20,0.0,0,1.0,0.666666667,0,0,4.0,0,0.0,False,FMeasure_Voting_Pred,False,0.004614541830102451
3,2,0,3,8,3,3,0,3,1.5,73,0.0,0,0.9375,0.833333333,0,0,22.0,3,1.0,False,FMeasure_Voting_Pred,False,0.005637778371447165
16,1,2,38,91,58,23,0,13,0.7777777779999999,717,0.8888888890000001,7,0.0,0.28,0,0,43.25,15,1.9375,True,FMeasure_Voting_Pred,True,0.7915611857997636
3,1,0,0,3,3,0,0,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,FMeasure_Voting_Pred,False,0.003217211883739995
10,3,0,3,24,3,1,0,10,0.481481481,114,1.0,0,0.428571429,0.211111111,1,1,10.1,3,1.0,False,FMeasure_Voting_Pred,False,0.028508567223661768
3,2,0,2,7,3,2,0,3,1.5,30,0.0,0,0.9375,0.833333333,0,0,8.666666667000001,3,1.0,False,FMeasure_Voting_Pred,False,0.005445660941840341
3,2,0,5,8,3,0,0,2,1.0,27,1.0,0,0.976190476,1.0,0,0,7.666666667,1,0.3333,False,FMeasure_Voting_Pred,False,0.0034392171849387107
11,2,0,1,25,35,0,0,11,0.65,283,1.0,0,0.411764706,0.318181818,0,0,24.36363636,2,1.1818,False,FMeasure_Voting_Pred,False,0.02146297003443086
4,2,0,12,22,2,1,0,4,0.583333333,1700,1.0,3,0.5,0.5,1,1,423.0,1,0.5,True,FMeasure_Voting_Pred,False,0.3744006926432423
6,5,0,1,7,15,1,0,6,2.0,14,0.0,0,0.864864865,0.458333333,1,1,1.333333333,1,0.8333,False,FMeasure_Voting_Pred,False,0.01063295329905607
0,1,0,0,0,0,0,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,False,FMeasure_Voting_Pred,False,0.017443023832640032
6,3,0,8,33,3,1,0,1,0.4,177,1.0,0,0.8275862070000001,0.4,1,6,28.33333333,1,0.8333,False,FMeasure_Voting_Pred,False,0.12128636589463523
