wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
13.0,1.0,0.0,4.0,49.0,64.0,2.0,2.0,0.0,0.916667,699.0,0.833333,0.0,0.0,0.3125,0,0,52.307692,16.0,2.4615,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.999999993110322
1.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0,0,0.0,1.0,1.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6400054358418217
9.0,1.0,0.0,8.0,12.0,0.0,8.0,0.0,7.0,0.40625,117.0,1.0,0.0,0.0,0.5,1,2,11.555556,4.0,1.1111,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.999998304587086
4.0,3.0,18.0,20.0,16.0,6.0,19.0,1.0,3.0,1.333333,425.0,0.0,0.0,0.926829,0.416667,0,0,100.75,3.0,1.25,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999999665515972
4.0,4.0,0.0,6.0,6.0,2.0,2.0,4.0,3.0,0.666667,29.0,1.0,0.0,0.975904,0.466667,0,0,5.75,1.0,0.5,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6913343003069583
3.0,1.0,0.0,10.0,46.0,3.0,0.0,10.0,3.0,2.0,267.0,0.0,0.0,0.0,0.466667,0,0,88.0,1.0,0.6667,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9987630607703134
6.0,4.0,0.0,35.0,46.0,3.0,11.0,28.0,5.0,2.0,274.0,0.0,0.0,0.938272,0.4,2,13,44.666667,8.0,3.6667,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999999952160976
33.0,4.0,3.0,46.0,76.0,472.0,27.0,20.0,31.0,0.977679,611.0,0.0,6.0,0.801471,0.173611,3,30,17.30303,2.0,1.1515,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
57.0,1.0,5.0,100.0,125.0,1198.0,74.0,46.0,10.0,0.910714,1198.0,0.916667,7.0,0.0,0.150298,0,0,19.807018,18.0,2.1579,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
28.0,3.0,0.0,42.0,61.0,370.0,13.0,34.0,26.0,1.0,533.0,0.0,0.0,0.564516,0.181548,1,3,18.0,10.0,1.8214,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
3.0,3.0,0.0,6.0,7.0,1.0,1.0,5.0,3.0,1.5,43.0,0.0,0.0,0.953488,0.833333,1,6,13.0,1.0,0.6667,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9996437456820648
3.0,4.0,0.0,13.0,5.0,3.0,13.0,0.0,3.0,1.5,17.0,0.0,0.0,1.0,0.555556,0,0,4.3333330000000005,0.0,0.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9998639448718448
6.0,3.0,0.0,28.0,60.0,0.0,3.0,27.0,5.0,0.65,375.0,1.0,3.0,0.918033,0.305556,1,5,60.833333,13.0,3.5,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.999999984389532
15.0,1.0,0.0,14.0,26.0,1.0,13.0,2.0,14.0,0.553571,477.0,1.0,1.0,0.0,0.383333,0,0,30.533333,6.0,2.4667,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999999999998572
11.0,2.0,0.0,7.0,29.0,53.0,4.0,3.0,11.0,0.8,125.0,1.0,0.0,0.714286,0.327273,1,5,10.272727,4.0,1.4545,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999999999999368
8.0,3.0,0.0,13.0,28.0,0.0,0.0,13.0,7.0,0.714286,122.0,0.5,1.0,0.965517,0.270833,2,5,14.0,2.0,1.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999997950112997
1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,17.0,0.0,1.0,0.0,1.0,0,0,12.0,0.0,0.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6543192984948897
3.0,3.0,0.0,6.0,7.0,3.0,1.0,5.0,3.0,1.5,25.0,0.0,0.0,0.952381,0.555556,1,1,7.0,1.0,0.6667,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9996353814153864
3.0,4.0,0.0,19.0,22.0,3.0,0.0,19.0,3.0,2.0,131.0,0.0,0.0,0.979592,0.4444439999999999,3,14,42.666667,5.0,2.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999985359960633
10.0,1.0,0.0,12.0,48.0,25.0,0.0,12.0,7.0,0.833333,520.0,0.5,0.0,0.0,0.3,0,0,50.6,7.0,1.5,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999999999936678
4.0,3.0,0.0,1.0,15.0,6.0,0.0,1.0,3.0,1.333333,4270.0,0.0,0.0,0.926829,0.333333,0,0,1005.75,2.0,1.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
2.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,229.0,0.0,0.0,0.974359,1.0,0,0,113.5,1.0,0.5,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6664985309355703
14.0,3.0,0.0,30.0,79.0,79.0,1.0,29.0,7.0,1.030769,805.0,0.3,0.0,0.821918,0.207143,2,6,55.785714,11.0,3.5714,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
2.0,1.0,0.0,7.0,24.0,1.0,3.0,4.0,2.0,2.0,109.0,0.0,0.0,0.0,0.5,0,0,53.5,1.0,0.5,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6664379723233604
9.0,1.0,0.0,19.0,59.0,16.0,1.0,18.0,9.0,0.785714,680.0,0.0,0.0,0.0,0.28571399999999997,0,0,73.777778,10.0,2.3333,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999999999999925
20.0,3.0,2.0,35.0,72.0,120.0,14.0,24.0,19.0,0.910931,404.0,1.0,3.0,0.759494,0.1875,1,4,18.55,7.0,1.8,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
16.0,4.0,0.0,37.0,79.0,10.0,5.0,35.0,13.0,0.566667,921.0,1.0,0.0,0.8295450000000001,0.232143,2,9,56.3125,18.0,3.4375,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
7.0,4.0,0.0,16.0,22.0,0.0,0.0,16.0,5.0,0.625,153.0,1.0,4.0,0.926829,0.30952399999999997,2,4,20.285714,6.0,1.7143,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999970249160142
2.0,3.0,0.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,14.0,0.0,0.0,0.97619,0.75,1,1,5.5,1.0,0.5,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9972187615340004
3.0,2.0,0.0,3.0,5.0,3.0,1.0,2.0,0.0,2.0,22.0,0.0,0.0,0.5,0.555556,0,0,6.3333330000000005,2.0,1.3333,False,GMean_Voting_Pred,GMean_Voting_Pred,False,0.09773777765066032
138.0,2.0,0.0,114.0,428.0,8413.0,63.0,67.0,130.0,0.950365,3670.0,0.733333,17.0,0.086667,0.052003,1,2,25.268116,5.0,1.3333,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
13.0,4.0,3.0,13.0,19.0,64.0,5.0,8.0,13.0,0.854167,107.0,1.0,1.0,0.8787879999999999,0.230769,2,3,6.923077,6.0,1.4615,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
13.0,1.0,0.0,3.0,49.0,64.0,1.0,2.0,0.0,0.916667,699.0,0.833333,0.0,0.0,0.3125,0,0,52.307692,16.0,2.4615,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999999915027644
22.0,3.0,2.0,27.0,47.0,189.0,22.0,11.0,22.0,0.952381,182.0,0.727273,4.0,0.903226,0.181818,2,14,6.7727270000000015,1.0,0.9545,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
7.0,1.0,0.0,5.0,21.0,0.0,2.0,3.0,7.0,0.5,122.0,0.666667,0.0,0.0,0.342857,0,0,16.0,2.0,0.7143,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.999998921623104
9.0,1.0,0.0,3.0,20.0,36.0,0.0,3.0,9.0,2.0,204.0,0.0,0.0,0.0,0.333333,0,0,21.666667,4.0,2.6667,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999999999575216
8.0,1.0,0.0,5.0,66.0,0.0,2.0,3.0,5.0,0.257143,623.0,0.8,2.0,0.0,0.5,0,0,76.25,1.0,0.75,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999999938046136
18.0,2.0,21.0,83.0,44.0,117.0,64.0,22.0,17.0,0.803922,233.0,1.0,3.0,0.760563,0.28571399999999997,1,2,11.777778,6.0,1.4444,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
2.0,4.0,0.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,315.0,0.0,0.0,0.97619,1.0,0,0,156.5,1.0,0.5,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6667150347432722
2.0,4.0,0.0,5.0,7.0,1.0,0.0,5.0,2.0,2.0,506.0,0.0,0.0,0.97619,1.0,0,0,252.0,1.0,0.5,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.8983644582175355
7.0,1.0,0.0,10.0,21.0,3.0,10.0,0.0,1.0,0.611111,269.0,1.0,0.0,0.0,0.4,0,0,37.0,7.0,2.1429,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9929574848119463
7.0,4.0,0.0,19.0,38.0,7.0,0.0,19.0,5.0,0.458333,272.0,1.0,1.0,0.941176,0.28571399999999997,3,13,37.285714,12.0,3.2857,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999999361723048
27.0,3.0,0.0,6.0,51.0,0.0,4.0,3.0,27.0,0.717949,168.0,0.333333,1.0,0.882883,0.246914,2,5,5.111111,2.0,1.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
2.0,1.0,0.0,13.0,31.0,0.0,1.0,13.0,0.0,0.14285699999999998,217.0,0.928571,9.0,0.0,1.0,0,0,100.5,3.0,1.5,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9972914651336744
24.0,3.0,0.0,27.0,83.0,148.0,10.0,22.0,23.0,0.857708,583.0,1.0,4.0,0.722892,0.136364,2,8,22.833333,13.0,2.3333,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
4.0,1.0,0.0,2.0,6.0,0.0,2.0,0.0,4.0,0.416667,87.0,1.0,0.0,0.0,1.0,0,0,19.75,2.0,1.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9987800242061768
14.0,1.0,0.0,10.0,36.0,49.0,7.0,3.0,14.0,0.538462,304.0,0.0,0.0,0.0,0.265306,0,0,20.571429,11.0,1.8571,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
1.0,1.0,1.0,8.0,2.0,0.0,4.0,4.0,1.0,2.0,28.0,0.0,4.0,0.0,1.0,0,0,21.0,0.0,0.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6644556372511822
11.0,2.0,0.0,4.0,21.0,23.0,1.0,4.0,11.0,0.64,135.0,1.0,2.0,0.565217,0.363636,1,6,10.818182,4.0,1.3636,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.999999999948352
4.0,3.0,0.0,1.0,15.0,6.0,0.0,1.0,3.0,1.333333,1166.0,0.0,0.0,0.926829,0.333333,0,0,271.25,2.0,1.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.999999999999418
2.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,229.0,0.0,0.0,0.974359,1.0,0,0,113.5,1.0,0.5,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6664985309355703
25.0,3.0,0.0,8.0,51.0,190.0,2.0,6.0,23.0,2.0,393.0,0.0,0.0,0.875648,0.373333,2,16,14.72,1.0,0.96,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
1.0,1.0,0.0,6.0,1.0,0.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0,0,0.0,1.0,1.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6519037455483042
4.0,1.0,0.0,5.0,4.0,6.0,5.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.55,0,0,0.0,1.0,1.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9998643498634237
4.0,5.0,0.0,0.0,8.0,6.0,0.0,0.0,4.0,1.333333,21.0,0.0,0.0,0.963855,0.625,0,0,4.0,1.0,0.75,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9994411476243784
1.0,1.0,0.0,4.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0,0,0.0,1.0,1.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6444749909200113
2.0,4.0,0.0,7.0,13.0,1.0,1.0,6.0,1.0,2.0,36.0,0.0,0.0,0.995261,0.625,2,3,16.5,1.0,0.5,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.996842634399596
2.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,229.0,0.0,0.0,0.974359,1.0,0,0,113.5,1.0,0.5,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6664985309355703
11.0,2.0,0.0,5.0,26.0,0.0,0.0,5.0,8.0,0.666667,272.0,1.0,3.0,0.565217,0.309091,1,7,23.181818,4.0,1.6364,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999997885207558
3.0,1.0,0.0,6.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.5,0,0,0.0,1.0,1.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6666403016407929
2.0,4.0,0.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,315.0,0.0,0.0,0.97619,1.0,0,0,156.5,1.0,0.5,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6667150347432722
2.0,5.0,0.0,3.0,3.0,1.0,3.0,0.0,2.0,2.0,13.0,0.0,0.0,1.0,0.833333,0,0,5.0,0.0,0.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6614631007418781
2.0,4.0,0.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,315.0,0.0,0.0,0.97619,1.0,0,0,156.5,1.0,0.5,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6667150347432722
13.0,4.0,1.0,17.0,52.0,40.0,2.0,15.0,13.0,0.75,380.0,0.5,3.0,0.946903,0.188034,4,11,27.92307700000001,2.0,1.1538,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
